
County-State,Percentage of Teens Who Work Part or Full time
LOGAN-AR,0.36670071501532175
LONOKE-AR,0.37892653969824386
MADISON-AR,0.2657766990291262
MARION-AR,0.5568760611205433
MILLER-AR,0.3090490797546012
MISSISSIPPI-AR,0.3663775299463032
MONROE-AR,0.33618233618233617
MONTGOMERY-AR,0.18181818181818182
NEVADA-AR,0.41330166270783847
NEWTON-AR,0.37701149425287356
OUACHITA-AR,0.2753623188405797
PERRY-AR,0.24116424116424118
PHILLIPS-AR,0.24758454106280192
PIKE-AR,0.48333333333333334
POINSETT-AR,0.37599364069952307
POLK-AR,0.461283185840708
POPE-AR,0.5453551912568306
PRAIRIE-AR,0.16346153846153846
PULASKI-AR,0.41953378908438865
RANDOLPH-AR,0.3694083694083694
ST. FRANCIS-AR,0.3034257748776509
SALINE-AR,0.477871786527823
SCOTT-AR,0.45132743362831856
SEARCY-AR,0.35093167701863354
SEBASTIAN-AR,0.4159891598915989
SEVIER-AR,0.2294887039239001
SHARP-AR,0.38985313751668893
STONE-AR,0.5255623721881391
UNION-AR,0.3472222222222222
VAN BUREN-AR,0.5962732919254659
WASHINGTON-AR,0.41691185876934883
WHITE-AR,0.45627376425855515
WOODRUFF-AR,0.22635135135135134
YELL-AR,0.505564387917329
ALAMEDA-CA,0.37925979235802915
ALPINE-CA,0.18518518518518517
AMADOR-CA,0.5288335517693316
BUTTE-CA,0.4398444647758463
CALAVERAS-CA,0.37360890302066774
COLUSA-CA,0.4325130499627144
CONTRA COSTA-CA,0.3934864039955605
DEL NORTE-CA,0.4040139616055846
EL DORADO-CA,0.5180858234104696
FRESNO-CA,0.2664626147791867
GLENN-CA,0.37910085054678005
HUMBOLDT-CA,0.5567582194560953
IMPERIAL-CA,0.15676507879007426
INYO-CA,0.5719895287958116
KERN-CA,0.26325662347708373
KINGS-CA,0.26426982950333583
LAKE-CA,0.40932835820895525
LASSEN-CA,0.3757455268389662
LOS ANGELES-CA,0.2773013161662339
MADERA-CA,0.24058919803600654
MARIN-CA,0.44228118538938666
MARIPOSA-CA,0.45958429561200925
MENDOCINO-CA,0.45558194774346794
MERCED-CA,0.28470127533470924
MODOC-CA,0.24550898203592814
MONO-CA,0.5322862129144852
MONTEREY-CA,0.3463328518696838
NAPA-CA,0.46811361200428725
NEVADA-CA,0.48685540950455003
ORANGE-CA,0.34918011793617787
PLACER-CA,0.4344718864950079
PLUMAS-CA,0.6412060301507537
RIVERSIDE-CA,0.2993239956859787
SACRAMENTO-CA,0.35480062255138733
SAN BENITO-CA,0.42668167745567126
SAN BERNARDINO-CA,0.29406341443860984
SAN DIEGO-CA,0.3723447444148587
SAN FRANCISCO-CA,0.4527896141133368
SAN JOAQUIN-CA,0.29895573212258797
SAN LUIS OBISPO-CA,0.5981607770200454
SAN MATEO-CA,0.40658463993126936
SANTA BARBARA-CA,0.4792950191570881
SANTA CLARA-CA,0.40649397709429114
SANTA CRUZ-CA,0.5433604336043361
SHASTA-CA,0.40565335978180017
SIERRA-CA,0.8521739130434782
SISKIYOU-CA,0.39322533136966126
SOLANO-CA,0.43627591477978406
SONOMA-CA,0.529120302330464
STANISLAUS-CA,0.33574520317849993
SUTTER-CA,0.2801321928460342
TEHAMA-CA,0.3845891578588476
TRINITY-CA,0.5430210325047801
TULARE-CA,0.2838846308995563
TUOLUMNE-CA,0.6365087812666312
VENTURA-CA,0.37281918224926186
YOLO-CA,0.40808962137125004
YUBA-CA,0.39243562231759654
ADAMS-CO,0.5422195641610287
ALAMOSA-CO,0.607555898226677
ARAPAHOE-CO,0.5426923440602641
ARCHULETA-CO,0.8073929961089494
BACA-CO,0.4631578947368421
BENT-CO,0.5641025641025641
BOULDER-CO,0.6368292453716756
BROOMFIELD-CO,0.6269886363636363
CHAFFEE-CO,0.6632522407170295
CHEYENNE-CO,0.5735294117647058
CLEAR CREEK-CO,0.723823975720789
CONEJOS-CO,0.5690021231422505
COSTILLA-CO,0.40969162995594716
CROWLEY-CO,0.2737306843267108
CUSTER-CO,0.597457627118644
DELTA-CO,0.38571428571428573
DENVER-CO,0.5126450032423086
DOLORES-CO,0.3783783783783784
DOUGLAS-CO,0.6327245434075557
EAGLE-CO,0.5192380952380953
ELBERT-CO,0.6377358490566037
