County-State,Median-Household-Income
SAN JOAQUIN-CA,68628
SAN LUIS OBISPO-CA,77948
SAN MATEO-CA,128091
SANTA BARBARA-CA,78925
SANTA CLARA-CA,130890
SANTA CRUZ-CA,89986
SHASTA-CA,57139
SIERRA-CA,52103
SISKIYOU-CA,47403
SOLANO-CA,84638
SONOMA-CA,86173
STANISLAUS-CA,62873
SUTTER-CA,63502
TEHAMA-CA,48895
TRINITY-CA,41780
TULARE-CA,52534
TUOLUMNE-CA,60509
VENTURA-CA,89295
YOLO-CA,73746
YUBA-CA,59424
ADAMS-CO,73817
ALAMOSA-CO,41121
ARAPAHOE-CO,80291
ARCHULETA-CO,55658
BACA-CO,34655
BENT-CO,38083
BOULDER-CO,87476
BROOMFIELD-CO,101206
CHAFFEE-CO,55176
CHEYENNE-CO,67763
CLEAR CREEK-CO,71919
CONEJOS-CO,33611
COSTILLA-CO,34732
CROWLEY-CO,40785
CUSTER-CO,60361
DELTA-CO,47968
DENVER-CO,72661
DOLORES-CO,56786
DOUGLAS-CO,121393
EAGLE-CO,85877
ELBERT-CO,104231
EL PASO-CO,71517
FREMONT-CO,52364
GARFIELD-CO,75435
GILPIN-CO,90547
GRAND-CO,71769
GUNNISON-CO,60557
HINSDALE-CO,39038
HUERFANO-CO,40255
JACKSON-CO,46157
JEFFERSON-CO,87793
KIOWA-CO,39503
KIT CARSON-CO,50411
LAKE-CO,65858
LA PLATA-CO,69291
LARIMER-CO,76366
LAS ANIMAS-CO,44159
LINCOLN-CO,47042
LOGAN-CO,49560
MESA-CO,57157
MINERAL-CO,53571
MOFFAT-CO,54583
MONTEZUMA-CO,50717
MONTROSE-CO,54611
MORGAN-CO,58468
OTERO-CO,43075
OURAY-CO,68893
PARK-CO,76611
PHILLIPS-CO,50426
PITKIN-CO,82455
PROWERS-CO,42648
PUEBLO-CO,49979
RIO BLANCO-CO,54247
RIO GRANDE-CO,43570
ROUTT-CO,76198
SAGUACHE-CO,45231
SAN JUAN-CO,56875
SAN MIGUEL-CO,66898
SEDGWICK-CO,43875
SUMMIT-CO,80709
TELLER-CO,61463
WASHINGTON-CO,51181
WELD-CO,74332
YUMA-CO,54393
FAIRFIELD-CT,97539
HARTFORD-CT,76259
LITCHFIELD-CT,81590
MIDDLESEX-CT,84907
NEW HAVEN-CT,71370
NEW LONDON-CT,75831
TOLLAND-CT,87809
WINDHAM-CT,67365
KENT-DE,60117
NEW CASTLE-DE,75275
SUSSEX-DE,64905
ALACHUA-FL,50089
BAKER-FL,62299
BAY-FL,56483
BRADFORD-FL,43580
BREVARD-FL,59359
BROWARD-FL,60922
CALHOUN-FL,38037
CHARLOTTE-FL,52724
CITRUS-FL,45689
CLAY-FL,68657
COLLIER-FL,70217
COLUMBIA-FL,44818
DESOTO-FL,36360
DIXIE-FL,41674
DUVAL-FL,56769
ESCAMBIA-FL,53023
FLAGLER-FL,57536
FRANKLIN-FL,48814
GADSDEN-FL,41135
GILCHRIST-FL,47381
GLADES-FL,39709
GULF-FL,50640
HAMILTON-FL,38300
HARDEE-FL,40165
