County-State,Median-Household-Income
OWEN-KY,50553
OWSLEY-KY,29406
PENDLETON-KY,56000
PERRY-KY,39594
PIKE-KY,34700
POWELL-KY,41071
PULASKI-KY,40658
ROBERTSON-KY,53074
ROCKCASTLE-KY,38744
ROWAN-KY,42754
RUSSELL-KY,41731
SCOTT-KY,71750
SHELBY-KY,72564
SIMPSON-KY,50159
SPENCER-KY,85488
TAYLOR-KY,50266
TODD-KY,47229
TRIGG-KY,50980
TRIMBLE-KY,57589
UNION-KY,49812
WARREN-KY,54325
WASHINGTON-KY,55321
WAYNE-KY,37678
WEBSTER-KY,44540
WHITLEY-KY,39258
WOLFE-KY,22292
WOODFORD-KY,66442
ACADIA PARISH-LA,44412
ALLEN PARISH-LA,48328
ASCENSION PARISH-LA,82594
ASSUMPTION PARISH-LA,44742
AVOYELLES PARISH-LA,35530
BEAUREGARD PARISH-LA,49256
BIENVILLE PARISH-LA,27815
BOSSIER PARISH-LA,55448
CADDO PARISH-LA,42003
CALCASIEU PARISH-LA,52866
CALDWELL PARISH-LA,40690
CAMERON PARISH-LA,56902
CATAHOULA PARISH-LA,40973
CLAIBORNE PARISH-LA,26849
CONCORDIA PARISH-LA,36294
DE SOTO PARISH-LA,44436
EAST BATON ROUGE PARISH-LA,56076
EAST CARROLL PARISH-LA,24551
EAST FELICIANA PARISH-LA,54187
EVANGELINE PARISH-LA,31427
FRANKLIN PARISH-LA,35759
GRANT PARISH-LA,51449
IBERIA PARISH-LA,50602
IBERVILLE PARISH-LA,49539
JACKSON PARISH-LA,41760
JEFFERSON PARISH-LA,54825
JEFFERSON DAVIS PARISH-LA,42716
LAFAYETTE PARISH-LA,58761
LAFOURCHE PARISH-LA,54530
LASALLE PARISH-LA,51141
LINCOLN PARISH-LA,36496
LIVINGSTON PARISH-LA,67365
MADISON PARISH-LA,32585
MOREHOUSE PARISH-LA,33780
NATCHITOCHES PARISH-LA,30625
ORLEANS PARISH-LA,43258
OUACHITA PARISH-LA,44934
PLAQUEMINES PARISH-LA,65234
POINTE COUPEE PARISH-LA,44201
RAPIDES PARISH-LA,48013
RED RIVER PARISH-LA,33817
RICHLAND PARISH-LA,40491
SABINE PARISH-LA,39755
ST. BERNARD PARISH-LA,47873
ST. CHARLES PARISH-LA,68113
ST. HELENA PARISH-LA,45063
ST. JAMES PARISH-LA,53209
ST. JOHN THE BAPTIST PARISH-LA,55429
ST. LANDRY PARISH-LA,40859
ST. MARTIN PARISH-LA,48884
ST. MARY PARISH-LA,40218
ST. TAMMANY PARISH-LA,70730
TANGIPAHOA PARISH-LA,48745
TENSAS PARISH-LA,29767
TERREBONNE PARISH-LA,52224
UNION PARISH-LA,45094
VERMILION PARISH-LA,52219
VERNON PARISH-LA,50267
WASHINGTON PARISH-LA,39185
WEBSTER PARISH-LA,30324
WEST BATON ROUGE PARISH-LA,67813
WEST CARROLL PARISH-LA,42545
WEST FELICIANA PARISH-LA,59688
WINN PARISH-LA,37764
ANDROSCOGGIN-ME,55002
AROOSTOOK-ME,43791
CUMBERLAND-ME,76014
FRANKLIN-ME,51630
HANCOCK-ME,58345
KENNEBEC-ME,55368
KNOX-ME,57794
LINCOLN-ME,58125
OXFORD-ME,49761
PENOBSCOT-ME,52128
PISCATAQUIS-ME,42083
SAGADAHOC-ME,68039
SOMERSET-ME,45382
WALDO-ME,58034
WASHINGTON-ME,44847
YORK-ME,68932
ALLEGANY-MD,49449
ANNE ARUNDEL-MD,103225
BALTIMORE-MD,78724
CALVERT-MD,112696
CAROLINE-MD,59042
CARROLL-MD,99569
CECIL-MD,79415
CHARLES-MD,103678
DORCHESTER-MD,52799
FREDERICK-MD,100685
GARRETT-MD,54542
HARFORD-MD,94003
HOWARD-MD,124042
KENT-MD,60208
MONTGOMERY-MD,111812
PRINCE GEORGE'S-MD,86994
QUEEN ANNE'S-MD,96467
ST. MARY'S-MD,95864
SOMERSET-MD,44980
TALBOT-MD,73102
WASHINGTON-MD,63510
WICOMICO-MD,60366
WORCESTER-MD,65396
BALTIMORE CITY-MD,52164
BARNSTABLE-MA,76863
BERKSHIRE-MA,62166
BRISTOL-MA,71450
DUKES-MA,77318
ESSEX-MA,82225
FRANKLIN-MA,61198
HAMPDEN-MA,57623
HAMPSHIRE-MA,73518
MIDDLESEX-MA,106202
NANTUCKET-MA,112306
NORFOLK-MA,105320
PLYMOUTH-MA,92906
SUFFOLK-MA,74881
WORCESTER-MA,77155
ALCONA-MI,43341
ALGER-MI,45184
ALLEGAN-MI,65071
ALPENA-MI,42603
ANTRIM-MI,57256
ARENAC-MI,45679
BARAGA-MI,46581
BARRY-MI,65557
BAY-MI,48290
BENZIE-MI,64257
BERRIEN-MI,52500
BRANCH-MI,52782
CALHOUN-MI,50219
CASS-MI,57514
CHARLEVOIX-MI,60433
CHEBOYGAN-MI,49624
CHIPPEWA-MI,50454
CLARE-MI,41163
CLINTON-MI,72490
CRAWFORD-MI,49987
DELTA-MI,47008
DICKINSON-MI,51704
EATON-MI,67440
EMMET-MI,55947
GENESEE-MI,50269
GLADWIN-MI,45957
GOGEBIC-MI,38625
GRAND TRAVERSE-MI,66457
GRATIOT-MI,49795
HILLSDALE-MI,51535
HOUGHTON-MI,44839
HURON-MI,49541
INGHAM-MI,55253
IONIA-MI,60139
IOSCO-MI,42628
IRON-MI,44183
ISABELLA-MI,46783
JACKSON-MI,54511
KALAMAZOO-MI,58836
KALKASKA-MI,49402
KENT-MI,65722
KEWEENAW-MI,51750
LAKE-MI,38356
LAPEER-MI,65197
LEELANAU-MI,67330
LENAWEE-MI,57314
LIVINGSTON-MI,84274
LUCE-MI,50000
MACKINAC-MI,50058
MACOMB-MI,64641
MANISTEE-MI,51658
MARQUETTE-MI,54585
MASON-MI,51568
MECOSTA-MI,45797
MENOMINEE-MI,48548
MIDLAND-MI,64078
MISSAUKEE-MI,47370
MONROE-MI,65453
MONTCALM-MI,52390
MONTMORENCY-MI,42160
MUSKEGON-MI,53478
NEWAYGO-MI,51470
OAKLAND-MI,81587
OCEANA-MI,51161
OGEMAW-MI,41752
ONTONAGON-MI,41776
OSCEOLA-MI,46969
OSCODA-MI,43457
OTSEGO-MI,55917
OTTAWA-MI,72418
PRESQUE ISLE-MI,48734
ROSCOMMON-MI,41828
SAGINAW-MI,49565
ST. CLAIR-MI,58722
ST. JOSEPH-MI,53253
SANILAC-MI,49852
SCHOOLCRAFT-MI,48443
SHIAWASSEE-MI,56436
TUSCOLA-MI,51891
VAN BUREN-MI,56652
WASHTENAW-MI,75730
WAYNE-MI,49359
WEXFORD-MI,50335
AITKIN-MN,49086
ANOKA-MN,84379
BECKER-MN,60508
BELTRAMI-MN,50525
BENTON-MN,60564
BIG STONE-MN,55909
BLUE EARTH-MN,61058
BROWN-MN,59804
CARLTON-MN,66201
CARVER-MN,104011
CASS-MN,53845
CHIPPEWA-MN,57301
CHISAGO-MN,86900
CLAY-MN,66069
CLEARWATER-MN,51742
COOK-MN,59537
COTTONWOOD-MN,51067
CROW WING-MN,57779
DAKOTA-MN,88468
DODGE-MN,79020
DOUGLAS-MN,65430
FARIBAULT-MN,53963
FILLMORE-MN,64375
FREEBORN-MN,54628
GOODHUE-MN,69334
GRANT-MN,59246
HENNEPIN-MN,81169
HOUSTON-MN,59514
HUBBARD-MN,58475
ISANTI-MN,76999
ITASCA-MN,55744
JACKSON-MN,62479
KANABEC-MN,57877
KANDIYOHI-MN,64252
KITTSON-MN,55410
KOOCHICHING-MN,52297
LAC QUI PARLE-MN,57802
LAKE-MN,65201
LAKE OF THE WOODS-MN,50669
LE SUEUR-MN,75925
LINCOLN-MN,53557
LYON-MN,57274
MCLEOD-MN,62885
MAHNOMEN-MN,45398
MARSHALL-MN,60951
MARTIN-MN,53851
MEEKER-MN,63841
MILLE LACS-MN,57173
MORRISON-MN,58826
MOWER-MN,55378
MURRAY-MN,62839
NICOLLET-MN,69174
NOBLES-MN,56000
NORMAN-MN,56081
OLMSTED-MN,80403
OTTER TAIL-MN,59456
PENNINGTON-MN,60940
PINE-MN,55606
PIPESTONE-MN,53688
POLK-MN,58682
POPE-MN,62878
RAMSEY-MN,67238
RED LAKE-MN,59698
REDWOOD-MN,57243
RENVILLE-MN,58542
RICE-MN,70600
ROCK-MN,65744
ROSEAU-MN,62304
ST. LOUIS-MN,57480
SCOTT-MN,103261
SHERBURNE-MN,88671
SIBLEY-MN,64170
STEARNS-MN,65244
STEELE-MN,68172
STEVENS-MN,65503
SWIFT-MN,53457
TODD-MN,54502
TRAVERSE-MN,51216
WABASHA-MN,67906
WADENA-MN,46178
WASECA-MN,60450
WASHINGTON-MN,97584
WATONWAN-MN,53304
WILKIN-MN,56829
WINONA-MN,60020
WRIGHT-MN,87772
YELLOW MEDICINE-MN,59289
ADAMS-MS,30633
ALCORN-MS,40938
AMITE-MS,30805
ATTALA-MS,35631
BENTON-MS,39758
BOLIVAR-MS,32412
CALHOUN-MS,40345
CARROLL-MS,46729
CHICKASAW-MS,35592
CHOCTAW-MS,36648
CLAIBORNE-MS,32268
CLARKE-MS,38631
CLAY-MS,33209
COAHOMA-MS,30761
COPIAH-MS,44252
COVINGTON-MS,32917
DESOTO-MS,69990
FORREST-MS,42298
FRANKLIN-MS,39066
GEORGE-MS,47044
GREENE-MS,47033
GRENADA-MS,39952
HANCOCK-MS,54860
HARRISON-MS,48547
HINDS-MS,45380
HOLMES-MS,24074
HUMPHREYS-MS,28628
ISSAQUENA-MS,28333
ITAWAMBA-MS,47649
JACKSON-MS,53726
JASPER-MS,37877
JEFFERSON-MS,29524
JEFFERSON DAVIS-MS,32214
JONES-MS,43391
KEMPER-MS,30735
LAFAYETTE-MS,53318
LAMAR-MS,61649
LAUDERDALE-MS,42922
LAWRENCE-MS,36239
LEAKE-MS,36708
LEE-MS,55861
LEFLORE-MS,30077
LINCOLN-MS,41355
LOWNDES-MS,48170
MADISON-MS,71621
MARION-MS,31629
MARSHALL-MS,43411
MONROE-MS,45018
MONTGOMERY-MS,38022
NESHOBA-MS,40750
NEWTON-MS,42176
NOXUBEE-MS,36958
OKTIBBEHA-MS,39490
PANOLA-MS,37232
PEARL RIVER-MS,51538
PERRY-MS,47173
PIKE-MS,32726
PONTOTOC-MS,48980
PRENTISS-MS,40163
QUITMAN-MS,24233
RANKIN-MS,68310
SCOTT-MS,39971
SHARKEY-MS,35711
SIMPSON-MS,43403
SMITH-MS,44714
STONE-MS,47683
SUNFLOWER-MS,31515
TALLAHATCHIE-MS,30433
TATE-MS,55738
TIPPAH-MS,37894
TISHOMINGO-MS,38302
TUNICA-MS,34485
UNION-MS,47317
WALTHALL-MS,33566
WARREN-MS,46909
WASHINGTON-MS,32011
WAYNE-MS,33612
WEBSTER-MS,52382
WILKINSON-MS,30760
WINSTON-MS,38986
YALOBUSHA-MS,41440
YAZOO-MS,32729
ADAIR-MO,42301
ANDREW-MO,58911
ATCHISON-MO,51625
AUDRAIN-MO,44699
BARRY-MO,45811
BARTON-MO,44510
BATES-MO,46733
BENTON-MO,41751
BOLLINGER-MO,45140
BOONE-MO,58740
BUCHANAN-MO,51933
BUTLER-MO,42227
CALDWELL-MO,51451
CALLAWAY-MO,59835
CAMDEN-MO,53520
CAPE GIRARDEAU-MO,53776
CARROLL-MO,51414
CARTER-MO,42403
CASS-MO,72522
CEDAR-MO,39408
CHARITON-MO,51545
CHRISTIAN-MO,64442
CLARK-MO,45842
CLAY-MO,72047
CLINTON-MO,62213
COLE-MO,61184
COOPER-MO,53003
CRAWFORD-MO,44380
DADE-MO,42117
DALLAS-MO,40404
DAVIESS-MO,52143
DEKALB-MO,58433
DENT-MO,42714
DOUGLAS-MO,43714
DUNKLIN-MO,38020
FRANKLIN-MO,60129
GASCONADE-MO,56380
GENTRY-MO,46774
GREENE-MO,47053
GRUNDY-MO,46885
HARRISON-MO,40615
HENRY-MO,47500
HICKORY-MO,33342
HOLT-MO,46442
HOWARD-MO,55000
HOWELL-MO,39482
IRON-MO,40082
JACKSON-MO,56960
JASPER-MO,49155
JEFFERSON-MO,67606
JOHNSON-MO,56440
KNOX-MO,37588
LACLEDE-MO,46582
LAFAYETTE-MO,62076
LAWRENCE-MO,44060
LEWIS-MO,45118
LINCOLN-MO,70424
LINN-MO,51150
LIVINGSTON-MO,50818
MCDONALD-MO,42876
MACON-MO,44696
MADISON-MO,47984
MARIES-MO,48276
MARION-MO,54277
MERCER-MO,50030
MILLER-MO,47964
MISSISSIPPI-MO,34354
MONITEAU-MO,57012
MONROE-MO,43422
MONTGOMERY-MO,52123
MORGAN-MO,41477
NEW MADRID-MO,40129
NEWTON-MO,52067
NODAWAY-MO,46303
OREGON-MO,32766
OSAGE-MO,62087
OZARK-MO,33046
PEMISCOT-MO,34709
PERRY-MO,56861
PETTIS-MO,49315
PHELPS-MO,44987
PIKE-MO,44920
PLATTE-MO,82448
POLK-MO,47614
PULASKI-MO,58426
PUTNAM-MO,48833
RALLS-MO,54194
RANDOLPH-MO,50440
RAY-MO,65303
REYNOLDS-MO,39552
RIPLEY-MO,36066
ST. CHARLES-MO,87644
ST. CLAIR-MO,39000
STE. GENEVIEVE-MO,61746
ST. FRANCOIS-MO,46307
ST. LOUIS-MO,68661
SALINE-MO,47585
SCHUYLER-MO,44420
SCOTLAND-MO,47708
SCOTT-MO,46310
SHANNON-MO,36229
SHELBY-MO,43809
STODDARD-MO,42761
STONE-MO,51476
SULLIVAN-MO,44056
TANEY-MO,47860
TEXAS-MO,35758
VERNON-MO,43910
WARREN-MO,64735
WASHINGTON-MO,42849
WAYNE-MO,38018
WEBSTER-MO,55827
WORTH-MO,47500
WRIGHT-MO,36711
ST. LOUIS CITY-MO,45782
BEAVERHEAD-MT,45819
BIG HORN-MT,48273
BLAINE-MT,45361
BROADWATER-MT,57723
CARBON-MT,61209
CARTER-MT,42300
CASCADE-MT,52049
CHOUTEAU-MT,45707
CUSTER-MT,54891
DANIELS-MT,56026
DAWSON-MT,51681
DEER LODGE-MT,42129
FALLON-MT,69792
FERGUS-MT,47618
FLATHEAD-MT,57763
GALLATIN-MT,70124
GARFIELD-MT,43750
GLACIER-MT,37645
GOLDEN VALLEY-MT,49028
GRANITE-MT,50795
HILL-MT,50912
JEFFERSON-MT,71779
JUDITH BASIN-MT,50329
LAKE-MT,52169
LEWIS AND CLARK-MT,66062
LIBERTY-MT,46750
LINCOLN-MT,39820
MCCONE-MT,57045
MADISON-MT,55892
MEAGHER-MT,46815
MINERAL-MT,48672
MISSOULA-MT,56247
MUSSELSHELL-MT,46328
PARK-MT,53082
PETROLEUM-MT,40000
PHILLIPS-MT,46686
PONDERA-MT,54235
POWDER RIVER-MT,57755
POWELL-MT,50332
PRAIRIE-MT,42350
RAVALLI-MT,55090
RICHLAND-MT,64158
ROOSEVELT-MT,45458
ROSEBUD-MT,57769
SANDERS-MT,42284
SHERIDAN-MT,54135
SILVER BOW-MT,49359
STILLWATER-MT,67448
SWEET GRASS-MT,53790
TETON-MT,56649
TOOLE-MT,49725
TREASURE-MT,44671
VALLEY-MT,51087
WHEATLAND-MT,35265
WIBAUX-MT,50972
YELLOWSTONE-MT,62630
ADAMS-NE,56007
ANTELOPE-NE,52569
ARTHUR-NE,48500
BANNER-NE,53864
BLAINE-NE,55268
BOONE-NE,60094
BOX BUTTE-NE,61904
BOYD-NE,53846
BROWN-NE,41979
BUFFALO-NE,63513
BURT-NE,51961
BUTLER-NE,59232
CASS-NE,73683
CEDAR-NE,64703
CHASE-NE,56135
CHERRY-NE,55431
CHEYENNE-NE,52270
CLAY-NE,63686
COLFAX-NE,64269
CUMING-NE,59202
CUSTER-NE,53891
DAKOTA-NE,61227
DAWES-NE,49379
DAWSON-NE,56731
DEUEL-NE,48958
DIXON-NE,57243
DODGE-NE,58439
DOUGLAS-NE,66600
DUNDY-NE,49211
FILLMORE-NE,62151
FRANKLIN-NE,50231
FRONTIER-NE,59250
FURNAS-NE,53533
GAGE-NE,51812
GARDEN-NE,42076
GARFIELD-NE,54659
GOSPER-NE,65086
GRANT-NE,43625
GREELEY-NE,46830
HALL-NE,58595
HAMILTON-NE,68649
HARLAN-NE,51534
HAYES-NE,52396
HITCHCOCK-NE,46000
HOLT-NE,60214
HOOKER-NE,48654
HOWARD-NE,59432
JEFFERSON-NE,48981
JOHNSON-NE,49382
KEARNEY-NE,62899
KEITH-NE,52169
KEYA PAHA-NE,55250
KIMBALL-NE,48056
KNOX-NE,53653
LANCASTER-NE,62464
LINCOLN-NE,59995
LOGAN-NE,45990
LOUP-NE,46111
MCPHERSON-NE,51932
MADISON-NE,52334
MERRICK-NE,52254
MORRILL-NE,46903
NANCE-NE,53147
NEMAHA-NE,50236
NUCKOLLS-NE,52975
OTOE-NE,64755
PAWNEE-NE,46063
PERKINS-NE,61389
PHELPS-NE,58105
PIERCE-NE,57629
PLATTE-NE,60878
POLK-NE,59837
RED WILLOW-NE,48140
RICHARDSON-NE,44524
ROCK-NE,51458
SALINE-NE,52956
SARPY-NE,83051
SAUNDERS-NE,70414
SCOTTS BLUFF-NE,53433
SEWARD-NE,71111
SHERIDAN-NE,45543
SHERMAN-NE,53158
SIOUX-NE,47422
STANTON-NE,64808
THAYER-NE,53234
THOMAS-NE,59000
THURSTON-NE,55574
VALLEY-NE,56205
WASHINGTON-NE,71505
WAYNE-NE,58894
WEBSTER-NE,51684
WHEELER-NE,48438
YORK-NE,63105
CHURCHILL-NV,56335
CLARK-NV,61048
DOUGLAS-NV,71415
ELKO-NV,79375
ESMERALDA-NV,31845
EUREKA-NV,67478
HUMBOLDT-NV,66123
LANDER-NV,73797
LINCOLN-NV,56537
LYON-NV,58814
MINERAL-NV,31500
NYE-NV,47308
PERSHING-NV,57074
STOREY-NV,64000
WASHOE-NV,68272
WHITE PINE-NV,57353
CARSON CITY-NV,58305
BELKNAP-NH,67328
CARROLL-NH,66932
CHESHIRE-NH,64686
COOS-NH,48945
GRAFTON-NH,67476
HILLSBOROUGH-NH,82099
MERRIMACK-NH,77937
ROCKINGHAM-NH,93962
STRAFFORD-NH,72682
SULLIVAN-NH,63760
ATLANTIC-NJ,63680
BERGEN-NJ,104623
BURLINGTON-NJ,90329
CAMDEN-NJ,70957
CAPE MAY-NJ,72385
CUMBERLAND-NJ,55709
ESSEX-NJ,63959
GLOUCESTER-NJ,89056
HUDSON-NJ,75062
HUNTERDON-NJ,117858
MERCER-NJ,83306
MIDDLESEX-NJ,91731
MONMOUTH-NJ,103523
MORRIS-NJ,117298
OCEAN-NJ,72679
PASSAIC-NJ,73562
SALEM-NJ,64234
SOMERSET-NJ,116510
SUSSEX-NJ,96222
UNION-NJ,82644
WARREN-NJ,83497
BERNALILLO-NM,54308
CATRON-NM,36607
CHAVES-NM,46254
CIBOLA-NM,44731
COLFAX-NM,36937
CURRY-NM,48903
DE BACA-NM,31532
DOÑA ANA-NM,44024
EDDY-NM,65000
GRANT-NM,37453
GUADALUPE-NM,31061
HARDING-NM,32500
HIDALGO-NM,44722
LEA-NM,61867
LINCOLN-NM,44939
LOS ALAMOS-NM,119266
LUNA-NM,32251
MCKINLEY-NM,36179
MORA-NM,29458
OTERO-NM,45032
QUAY-NM,33962
RIO ARRIBA-NM,42264
ROOSEVELT-NM,42917
SANDOVAL-NM,65071
SAN JUAN-NM,47643
SAN MIGUEL-NM,32310
SANTA FE-NM,60668
SIERRA-NM,33873
SOCORRO-NM,40297
TAOS-NM,41973
TORRANCE-NM,38240
UNION-NM,35484
VALENCIA-NM,50801
ALBANY-NY,68327
ALLEGANY-NY,51227
BRONX-NY,41895
BROOME-NY,52237
CATTARAUGUS-NY,50700
CAYUGA-NY,57985
CHAUTAUQUA-NY,48315
CHEMUNG-NY,54883
CHENANGO-NY,51756
CLINTON-NY,59510
COLUMBIA-NY,68750
CORTLAND-NY,59194
DELAWARE-NY,49945
DUTCHESS-NY,81842
ERIE-NY,59464
ESSEX-NY,58109
FRANKLIN-NY,52905
FULTON-NY,51663
GENESEE-NY,60635
GREENE-NY,56681
HAMILTON-NY,60625
HERKIMER-NY,58438
JEFFERSON-NY,54726
KINGS-NY,63973
LEWIS-NY,56192
LIVINGSTON-NY,60248
MADISON-NY,61176
MONROE-NY,62087
MONTGOMERY-NY,50146
NASSAU-NY,120036
NEW YORK-NY,89812
NIAGARA-NY,57252
ONEIDA-NY,59113
ONONDAGA-NY,62668
ONTARIO-NY,64795
ORANGE-NY,80816
ORLEANS-NY,52958
OSWEGO-NY,59070
OTSEGO-NY,56171
PUTNAM-NY,107246
QUEENS-NY,72028
RENSSELAER-NY,72510
RICHMOND-NY,85381
ROCKLAND-NY,94840
ST. LAWRENCE-NY,52071
SARATOGA-NY,85224
SCHENECTADY-NY,66488
SCHOHARIE-NY,58926
SCHUYLER-NY,53291
SENECA-NY,54865
STEUBEN-NY,55349
SUFFOLK-NY,105362
SULLIVAN-NY,60433
TIOGA-NY,61965
TOMPKINS-NY,61361
ULSTER-NY,65306
WARREN-NY,64658
WASHINGTON-NY,59613
WAYNE-NY,62003
WESTCHESTER-NY,99489
WYOMING-NY,58746
YATES-NY,55307
ALAMANCE-NC,51580
ALEXANDER-NC,51329
ALLEGHANY-NC,37158
ANSON-NC,39799
ASHE-NC,43030
AVERY-NC,42695
BEAUFORT-NC,48051
BERTIE-NC,35042
BLADEN-NC,37188
BRUNSWICK-NC,59763
BUNCOMBE-NC,55032
BURKE-NC,43915
CABARRUS-NC,71177
CALDWELL-NC,46094
CAMDEN-NC,63834
CARTERET-NC,57871
CASWELL-NC,47938
CATAWBA-NC,54690
CHATHAM-NC,69799
CHEROKEE-NC,40793
CHOWAN-NC,44050
CLAY-NC,42160
CLEVELAND-NC,43512
COLUMBUS-NC,38487
CRAVEN-NC,53894
CUMBERLAND-NC,48177
CURRITUCK-NC,73741
DARE-NC,65420
DAVIDSON-NC,50454
DAVIE-NC,62028
DUPLIN-NC,43422
DURHAM-NC,62812
EDGECOMBE-NC,40489
FORSYTH-NC,53583
FRANKLIN-NC,58172
GASTON-NC,53474
GATES-NC,45871
GRAHAM-NC,42207
GRANVILLE-NC,56924
GREENE-NC,43563
GUILFORD-NC,54794
HALIFAX-NC,35904
HARNETT-NC,54565
HAYWOOD-NC,51548
HENDERSON-NC,58928
HERTFORD-NC,42588
HOKE-NC,51140
HYDE-NC,46667
IREDELL-NC,62551
JACKSON-NC,46820
JOHNSTON-NC,61806
JONES-NC,38324
LEE-NC,52294
LENOIR-NC,39923
LINCOLN-NC,59592
MCDOWELL-NC,47085
MACON-NC,45703
MADISON-NC,46190
MARTIN-NC,39909
MECKLENBURG-NC,69240
MITCHELL-NC,48841
MONTGOMERY-NC,45147
MOORE-NC,63324
NASH-NC,49949
NEW HANOVER-NC,56689
NORTHAMPTON-NC,38969
ONSLOW-NC,51560
ORANGE-NC,74803
PAMLICO-NC,48531
PASQUOTANK-NC,54439
PENDER-NC,60044
PERQUIMANS-NC,51036
PERSON-NC,57323
PITT-NC,49337
POLK-NC,52125
RANDOLPH-NC,48984
RICHMOND-NC,39051
ROBESON-NC,35362
ROCKINGHAM-NC,45697
ROWAN-NC,51054
RUTHERFORD-NC,43183
SAMPSON-NC,42914
SCOTLAND-NC,35936
STANLY-NC,54104
STOKES-NC,51668
SURRY-NC,44979
SWAIN-NC,45554
TRANSYLVANIA-NC,51509
TYRRELL-NC,38250
UNION-NC,82557
VANCE-NC,41827
WAKE-NC,83567
WARREN-NC,37476
WASHINGTON-NC,30941
WATAUGA-NC,46453
WAYNE-NC,47221
WILKES-NC,44980
WILSON-NC,44594
YADKIN-NC,46954
YANCEY-NC,44554
ADAMS-ND,48750
BARNES-ND,60472
BENSON-ND,50329
BILLINGS-ND,64896
BOTTINEAU-ND,65074
BOWMAN-ND,70521
BURKE-ND,79405
BURLEIGH-ND,72974
CASS-ND,65976
CAVALIER-ND,54955
DICKEY-ND,64521
DIVIDE-ND,64650
DUNN-ND,82750
EDDY-ND,52895
EMMONS-ND,51012
FOSTER-ND,61250
GOLDEN VALLEY-ND,72308
GRAND FORKS-ND,53721
GRANT-ND,53750
GRIGGS-ND,53917
HETTINGER-ND,59750
KIDDER-ND,52063
LAMOURE-ND,61477
LOGAN-ND,60592
MCHENRY-ND,67039
MCINTOSH-ND,51136
MCKENZIE-ND,75238
MCLEAN-ND,70261
MERCER-ND,82087
MORTON-ND,72778
MOUNTRAIL-ND,70412
NELSON-ND,53063
OLIVER-ND,66641
PEMBINA-ND,60910
PIERCE-ND,57398
RAMSEY-ND,52688
RANSOM-ND,62235
RENVILLE-ND,69848
RICHLAND-ND,60833
ROLETTE-ND,46481
SARGENT-ND,64564
SHERIDAN-ND,54250
SIOUX-ND,41893
SLOPE-ND,65833
STARK-ND,69412
STEELE-ND,77167
STUTSMAN-ND,52815
TOWNER-ND,49464
TRAILL-ND,67604
WALSH-ND,55428
WARD-ND,68098
WELLS-ND,56519
WILLIAMS-ND,79508
ADAMS-OH,40067
ALLEN-OH,51892
ASHLAND-OH,55422
ASHTABULA-OH,47925
ATHENS-OH,42414
AUGLAIZE-OH,66193
BELMONT-OH,51574
BROWN-OH,57200
BUTLER-OH,69023
CARROLL-OH,52574
CHAMPAIGN-OH,59909
CLARK-OH,51504
CLERMONT-OH,69720
CLINTON-OH,54683
COLUMBIANA-OH,49407
COSHOCTON-OH,48552
CRAWFORD-OH,46391
CUYAHOGA-OH,51741
DARKE-OH,54799
DEFIANCE-OH,62110
DELAWARE-OH,111411
ERIE-OH,58408
FAIRFIELD-OH,70906
FAYETTE-OH,48637
FRANKLIN-OH,62352
FULTON-OH,61290
GALLIA-OH,48975
GEAUGA-OH,83730
GREENE-OH,70055
GUERNSEY-OH,46352
HAMILTON-OH,59190
HANCOCK-OH,57384
HARDIN-OH,50214
HARRISON-OH,49454
HENRY-OH,60425
HIGHLAND-OH,47973
HOCKING-OH,54774
HOLMES-OH,64453
HURON-OH,55041
JACKSON-OH,48915
JEFFERSON-OH,46849
KNOX-OH,61590
LAKE-OH,65814
LAWRENCE-OH,46584
LICKING-OH,67736
LOGAN-OH,60417
LORAIN-OH,58798
LUCAS-OH,49946
MADISON-OH,68663
MAHONING-OH,47092
MARION-OH,49225
MEDINA-OH,77784
MEIGS-OH,43445
MERCER-OH,65566
MIAMI-OH,62347
MONROE-OH,46241
MONTGOMERY-OH,53064
MORGAN-OH,43791
MORROW-OH,61769
MUSKINGUM-OH,48350
NOBLE-OH,50070
OTTAWA-OH,59306
PAULDING-OH,56531
PERRY-OH,52978
PICKAWAY-OH,61629
PIKE-OH,44115
PORTAGE-OH,59485
PREBLE-OH,61339
PUTNAM-OH,67790
RICHLAND-OH,49186
ROSS-OH,51508
SANDUSKY-OH,55245
SCIOTO-OH,41866
SENECA-OH,52897
SHELBY-OH,64522
STARK-OH,55045
SUMMIT-OH,59253
TRUMBULL-OH,47799
TUSCARAWAS-OH,54451
UNION-OH,88565
VAN WERT-OH,55991
VINTON-OH,45034
WARREN-OH,89410
WASHINGTON-OH,51808
WAYNE-OH,61424
WILLIAMS-OH,52855
WOOD-OH,63189
WYANDOT-OH,57925
ADAIR-OK,34375
ALFALFA-OK,64122
ATOKA-OK,42392
BEAVER-OK,55083
BECKHAM-OK,47095
BLAINE-OK,49638
BRYAN-OK,47175
CADDO-OK,46499
CANADIAN-OK,73591
CARTER-OK,51148
CHEROKEE-OK,43378
CHOCTAW-OK,37121
CIMARRON-OK,47095
CLEVELAND-OK,65412
COAL-OK,42277
COMANCHE-OK,52377
COTTON-OK,49583
CRAIG-OK,43003
CREEK-OK,52315
CUSTER-OK,51351
DELAWARE-OK,44268
DEWEY-OK,51169
ELLIS-OK,48264
GARFIELD-OK,55435
GARVIN-OK,47321
GRADY-OK,64507
GRANT-OK,53147
GREER-OK,46794
HARMON-OK,53087
HARPER-OK,44318
