Drop_Out_Rate_By_County,SVI,Graduation-Rate,Percentage of Teens Who Work Part or Full time,Percentage-Private-School,Percentage-Public-School
0.0,0.0213,87.5,0.398576512455516,0.3333333333333333,0.6666666666666666
0.0,0.0459,92.5,0.5887170154686078,0.3181818181818182,0.6818181818181818
0.0,0.0525,89.09,0.6366822429906542,0.09523809523809523,0.9047619047619048
0.0,0.1717,46.18,0.8097876269621422,0.2222222222222222,0.7777777777777778
0.0,0.2185,88.65,0.6428571428571429,0.1111111111111111,0.8888888888888888
0.0,0.6761,77.5,0.39875,0.14285714285714285,0.8571428571428571
0.0,0.9854,87.5,0.1509433962264151,0.16666666666666666,0.8333333333333334
0.0010504201680672268,0.1105,89.08,0.6533613445378151,0.125,0.875
0.0014049877063575693,0.5583,95.4,0.349139445029856,0.07407407407407407,0.9259259259259259
0.002263012320844858,0.179,87.79,0.6497359818959014,0.21428571428571427,0.7857142857142857
0.0027624309392265192,0.2417,92.5,0.8895027624309392,0.125,0.875
0.0048,0.7229,87.5,0.272,0.16666666666666666,0.8333333333333334
0.005434782608695652,0.1194,90.0,0.48188405797101447,0.029411764705882353,0.9705882352941176
0.005469915464942815,0.7895,80.0,0.5459970164097464,0.045454545454545456,0.9545454545454546
0.006609642301710731,0.0354,94.0,0.43506998444790046,0.23076923076923078,0.7692307692307693
0.008928571428571428,0.1561,89.97,0.7978896103896104,0.05263157894736842,0.9473684210526315
0.009751340809361287,0.2895,91.97,0.6635787420770356,0.28,0.72
0.01,0.8054,82.45,0.3472222222222222,0.1,0.9
0.010059442158207591,0.4315,95.03,0.5486968449931413,0.17647058823529413,0.8235294117647058
0.010132282578103011,0.5245,88.69,0.42668167745567126,0.15625,0.84375
0.011627906976744186,0.9736,76.51,0.2724252491694352,0.125,0.875
0.011767317939609237,0.1312,91.0,0.5026642984014209,0.06358381502890173,0.9364161849710982
0.013245033112582781,0.2201,86.07,0.5794701986754967,0.2,0.8
0.013642564802182811,0.4455,96.44,0.616643929058663,0.25,0.75
0.013725490196078431,0.1949,92.65,0.7225490196078431,0.10526315789473684,0.8947368421052632
0.013757613946649863,0.1427,87.13,0.7942659105229993,0.078125,0.921875
0.014042126379137413,0.6433,77.0,0.4172517552657974,0.06666666666666667,0.9333333333333333
0.014321886374426333,0.7675,80.0,0.6114100332331065,0.2413793103448276,0.7586206896551724
0.01436720895837735,0.0471,94.0,0.5279949292203676,0.05063291139240506,0.9493670886075949
0.015917341524713767,0.2159,88.0,0.5286232895839151,0.05405405405405406,0.9459459459459459
0.01599709143792038,0.9822,89.2,0.46755135429921835,0.04,0.96
0.016226240148354196,0.2468,82.5,0.9049605934167826,0.16666666666666666,0.8333333333333334
0.017836593785960874,0.1261,89.87,0.6852704257767549,0.24,0.76
0.017894736842105262,0.1268,90.88,0.3663157894736842,0.16666666666666666,0.8333333333333334
0.019164817429897115,0.0363,90.27,0.6456021787371394,0.22123893805309736,0.7787610619469026
0.01949317738791423,0.0146,95.69,0.6824777994368638,0.1388888888888889,0.8611111111111112
0.019770408163265307,0.393,82.65,0.7372448979591837,0.18421052631578946,0.8157894736842105
0.02,0.1688,87.11,0.7178911564625851,0.18357487922705315,0.8164251207729468
0.020085986833266158,0.2573,85.0,0.49066236732500335,0.08791208791208792,0.9120879120879121
0.020536601523683338,0.8882,85.0,0.3689963564094071,0.14285714285714285,0.8571428571428571
0.020572002007024585,0.1124,96.0,0.47984612811506944,0.043010752688172046,0.956989247311828
0.02120141342756184,0.5627,92.5,0.26148409893992935,0.4,0.6
0.021343873517786563,0.6981,96.0,0.3786561264822134,0.15384615384615385,0.8461538461538461
0.021352313167259787,0.3748,95.47,0.5711743772241993,0.08333333333333333,0.9166666666666666
0.021394611727416798,0.3369,86.0,0.5594294770206022,0.02631578947368421,0.9736842105263158
0.021744268494445756,0.2325,90.93,0.7117702670763413,0.18333333333333332,0.8166666666666667
0.022042093287827077,0.5131,85.26,0.6079351535836177,0.07142857142857142,0.9285714285714286
0.02211166390270868,0.0395,96.0,0.5370370370370371,0.08695652173913043,0.9130434782608695
0.02218821729150727,0.1334,88.0,0.44542208620249935,0.15789473684210525,0.8421052631578947
0.022263450834879406,0.7376,94.15,0.3738404452690167,0.16666666666666666,0.8333333333333334
0.022284122562674095,0.1567,91.92,0.6462395543175488,0.2857142857142857,0.7142857142857143
0.022354694485842028,0.6576,71.0,0.5283159463487332,0.0625,0.9375
0.022619673855865333,0.2315,88.57,0.6519375767140102,0.14705882352941177,0.8529411764705882
0.023541114058355437,0.9016,87.5,0.41346153846153844,0.15384615384615385,0.8461538461538461
0.023701390860062448,0.0608,92.0,0.4293216009083168,0.32432432432432434,0.6756756756756757
0.023972602739726026,0.2637,96.0,0.3812785388127854,0.1111111111111111,0.8888888888888888
0.024154589371980676,0.9239,80.33,0.24758454106280192,0.21428571428571427,0.7857142857142857
0.024233784746970778,0.1385,86.0,0.5108101686861487,0.10344827586206896,0.896551724137931
0.024687595245352027,0.0806,93.96,0.8189576348674185,0.13793103448275862,0.8620689655172413
0.024858757062146894,0.2971,92.45,0.6627118644067796,0.2,0.8
0.02509463355490861,0.7939,87.38,0.2993239956859787,0.15676567656765678,0.8432343234323433
0.025278058645096056,0.5045,79.24,0.5540950455005056,0.1,0.9
0.02595529920692141,0.0522,86.61,0.7166546503244412,0.05263157894736842,0.9473684210526315
0.02626878217925817,0.3076,91.76,0.4709467269097405,0.23809523809523808,0.7619047619047619
0.026358257127487898,0.4841,87.86,0.5228617536309844,0.20689655172413793,0.7931034482758621
0.026517083120856707,0.2369,90.0,0.5400305966343703,0.13333333333333333,0.8666666666666667
0.026607854297097326,0.4373,83.73,0.7811610700056916,0.05263157894736842,0.9473684210526315
0.02689486552567237,0.0306,96.84,0.78239608801956,0.25,0.75
0.02696629213483146,0.5494,90.64,0.5659711075441413,0.08,0.92
0.027247956403269755,0.9545,72.5,0.14986376021798364,0.2,0.8
0.0274472970152369,0.0889,89.63,0.700375704445836,0.1702127659574468,0.8297872340425532
0.027583425748563362,0.3255,89.0,0.4197802197802198,0.16888297872340424,0.8311170212765957
0.027694610778443114,0.3481,80.0,0.5486526946107785,0.0625,0.9375
0.027859011851623827,0.4083,87.84,0.583038325380945,0.26153846153846155,0.7384615384615385
0.02802893309222423,0.2223,91.19,0.5741410488245932,0.09090909090909091,0.9090909090909091
0.028260536398467432,0.7111,87.93,0.4792950191570881,0.18421052631578946,0.8157894736842105
0.028291316526610644,0.4978,91.14,0.6599439775910364,0.19047619047619047,0.8095238095238095
0.028460038986354776,0.3764,90.0,0.5138401559454191,0.2,0.8
0.028790786948176585,0.5599,91.0,0.5825335892514395,0.25,0.75
0.029197080291970802,0.2672,88.07,0.6380778588807786,0.43478260869565216,0.5652173913043478
0.029357116313638052,0.835,87.0,0.3849869936826459,0.02127659574468085,0.9787234042553191
0.029554079696394685,0.2054,92.58,0.484392789373814,0.1787709497206704,0.8212290502793296
0.02960331557134399,0.5879,88.37,0.5020722320899941,0.08333333333333333,0.9166666666666666
0.029632447741635492,0.278,88.22,0.6856466510261451,0.07804878048780488,0.9219512195121952
0.02966432474629196,0.3487,91.79,0.5932864949258392,0.05555555555555555,0.9444444444444444
0.02969502407704655,0.9073,73.0,0.29614767255216695,0.3076923076923077,0.6923076923076923
0.030102347983142687,0.4997,95.71,0.6198073449729079,0.07142857142857142,0.9285714285714286
0.03014681161044492,0.6726,82.08,0.5479846090627218,0.17857142857142858,0.8214285714285714
0.030158554163432754,0.4876,85.0,0.6131500166315556,0.23,0.77
0.030276046304541407,0.1987,88.04,0.5369545859305432,0.03333333333333333,0.9666666666666667
0.030362389813907934,0.0131,94.12,0.6209598432908913,0.058823529411764705,0.9411764705882353
0.030757498729028977,0.8347,89.42,0.2915607524148449,0.05714285714285714,0.9428571428571428
0.030800821355236138,0.7471,85.0,0.19233401779603013,0.05263157894736842,0.9473684210526315
0.030959752321981424,0.4223,82.5,0.541795665634675,0.14285714285714285,0.8571428571428571
0.031087460990637753,0.1373,75.12,0.6209890373689686,0.17857142857142858,0.8214285714285714
0.031217838765008575,0.7452,90.63,0.45866209262435675,0.038461538461538464,0.9615384615384616
0.0314410480349345,0.9771,92.4,0.39890829694323143,0.022222222222222223,0.9777777777777777
0.031914893617021274,0.0818,91.51,0.5211543164587918,0.20202020202020202,0.797979797979798
0.031967213114754096,0.4261,92.0,0.5491803278688525,0.0625,0.9375
0.032,0.7608,83.61,0.6,0.1111111111111111,0.8888888888888888
0.03238439524024703,0.3041,81.4,0.5848772405482754,0.2621359223300971,0.7378640776699029
0.03259433866411981,0.221,94.0,0.5175265692629697,0.039735099337748346,0.9602649006622517
0.033642691415313224,0.3433,83.7,0.5232018561484919,0.05263157894736842,0.9473684210526315
0.03380539058931019,0.3592,90.69,0.7903152124257652,0.18181818181818182,0.8181818181818182
0.034482758620689655,0.5003,90.62,0.6144200626959248,0.07692307692307693,0.9230769230769231
0.03465506125080593,0.2688,90.49,0.7356544165054804,0.25,0.75
0.03479740179399938,0.1882,94.35,0.6229508196721312,0.203125,0.796875
0.035455486542443064,0.1621,87.32,0.6482919254658385,0.3404255319148936,0.6595744680851063
0.03552866340857963,0.1904,88.12,0.6001086029012489,0.17142857142857143,0.8285714285714286
0.03571428571428571,0.0586,95.64,0.7402597402597403,0.4117647058823529,0.5882352941176471
0.03615863141524106,0.8822,84.08,0.2801321928460342,0.061224489795918366,0.9387755102040817
0.036812614021370864,0.4096,88.43,0.5591825210668057,0.1861198738170347,0.8138801261829653
0.03695829926410466,0.8691,74.77,0.45592804578904333,0.1,0.9
0.03732503888024884,0.0118,88.35,0.6321928460342147,0.07692307692307693,0.9230769230769231
0.0375037503750375,0.0373,94.0,0.535028502850285,0.3148148148148148,0.6851851851851852
0.03765249259500979,0.635,83.64,0.5448064661880616,0.2975206611570248,0.7024793388429752
0.03771030748404564,0.3318,82.63,0.6076194159736995,0.14754098360655737,0.8524590163934426
0.03776379118844872,0.4162,77.11,0.7054794520547946,0.20754716981132076,0.7924528301886793
0.037925817726537636,0.9497,90.0,0.2679847670718347,0.024475524475524476,0.9755244755244755
0.03818615751789976,0.7312,91.5,0.49232867371292194,0.09090909090909091,0.9090909090909091
0.038461538461538464,0.4465,96.62,0.6104218362282878,0.2,0.8
0.03870273009438145,0.7379,70.36,0.5917315935052047,0.20952380952380953,0.7904761904761904
0.03885495098735616,0.3299,88.09,0.7150163375479471,0.21904761904761905,0.780952380952381
0.03906673901247965,0.5105,89.17,0.6093326098752034,0.30303030303030304,0.696969696969697
0.0392618767177071,0.6771,89.0,0.44954848841774636,0.17391304347826086,0.8260869565217391
0.03938216373314175,0.0831,92.38,0.5567710544362081,0.4084507042253521,0.5915492957746479
0.039733969986357434,0.2876,73.27,0.60050022737608,0.22784810126582278,0.7721518987341772
0.039876113046844755,0.3232,89.77,0.5164537359659311,0.07692307692307693,0.9230769230769231
0.03991596638655462,0.9863,67.11,0.34978991596638653,0.08695652173913043,0.9130434782608695
0.03998021982123197,0.8153,68.78,0.2270428632741794,0.2832080200501253,0.7167919799498746
0.04019138755980861,0.5389,95.22,0.4478468899521531,0.3181818181818182,0.6818181818181818
0.04090909090909091,0.0713,91.69,0.45,0.16666666666666666,0.8333333333333334
0.04091653027823241,0.0854,97.5,0.5270049099836334,0.2222222222222222,0.7777777777777778
0.04110313865394637,0.901,80.73,0.29406341443860984,0.13117283950617284,0.8688271604938271
0.04125999344278833,0.8404,83.32,0.3230435550175279,0.2070063694267516,0.7929936305732485
0.0414765657403567,0.6035,83.54,0.5143094151804231,0.1,0.9
0.041666666666666664,0.0248,87.0,0.6635416666666667,0.2,0.8
0.042270058708414875,0.4137,85.0,0.5136147609728823,0.30973451327433627,0.6902654867256637
0.042303771661569824,0.1793,91.0,0.5193679918450561,0.25,0.75
0.04265658747300216,0.2994,88.12,0.6290496760259179,0.34782608695652173,0.6521739130434783
0.04266023432115782,0.2892,91.63,0.6436940041350793,0.46875,0.53125
0.042693736794812635,0.5204,82.5,0.5306117492775093,0.18859649122807018,0.8114035087719298
0.04287540564460616,0.1694,90.29,0.5889467990952896,0.18571428571428572,0.8142857142857143
0.043034281546316555,0.4032,78.0,0.4194018964259664,0.17647058823529413,0.8235294117647058
0.043200785468826705,0.4013,81.34,0.538046146293569,0.15384615384615385,0.8461538461538461
0.043253646677471634,0.1799,88.0,0.5073946515397083,0.06696428571428571,0.9330357142857143
0.04333266693322671,0.114,85.0,0.5425829668132747,0.19832985386221294,0.8016701461377871
0.04339766655762731,0.6131,77.46,0.4778104895867408,0.2376237623762376,0.7623762376237624
0.043458371454711806,0.8064,86.34,0.4398444647758463,0.08411214953271028,0.9158878504672897
0.043923865300146414,0.743,57.6,0.4864568081991215,0.1724137931034483,0.8275862068965517
0.04393720678455431,0.5889,82.48,0.482948394081559,0.14772727272727273,0.8522727272727273
0.04421052631578947,0.2449,86.96,0.7964912280701755,0.19047619047619047,0.8095238095238095
0.044374009508716325,0.3108,95.0,0.5748811410459588,0.36363636363636365,0.6363636363636364
0.0458970792767733,0.4105,92.5,0.6105702364394993,0.5,0.5
0.04592808334266831,0.3334,82.79,0.5925842948358911,0.21875,0.78125
0.045937268461348484,0.2404,91.95,0.543591010125957,0.10344827586206896,0.896551724137931
0.04597701149425287,0.4917,92.5,0.36666666666666664,0.42857142857142855,0.5714285714285714
0.04628330995792426,0.7318,85.68,0.5563347358578775,0.12,0.88
0.046296296296296294,0.8551,91.21,0.45740740740740743,0.07142857142857142,0.9285714285714286
0.046382121267631436,0.5207,81.4,0.5380472614031874,0.16778523489932887,0.8322147651006712
0.046405170092451306,0.9328,78.0,0.453998743380307,0.1527777777777778,0.8472222222222222
0.046973518284993694,0.5946,89.35,0.5598991172761665,0.02142857142857143,0.9785714285714285
0.04749679075738126,0.8484,81.0,0.44030808729139925,0.08333333333333333,0.9166666666666666
0.047516198704103674,0.7048,78.13,0.5163865151657433,0.1836734693877551,0.8163265306122449
0.04828747894441325,0.5522,73.0,0.46546883773161146,0.1,0.9
0.048414376321353064,0.4236,84.58,0.6862579281183933,0.18518518518518517,0.8148148148148148
