,NAME,State,Total Population 16 to 19 Years,Total_Male_Dropout,Total_Female_Dropout,Total_Dropout,County
12,Howard County,Maryland,16151,193,35,228,Howard 
13,Kent County,Maryland,1356,5,8,13,Kent 
14,Montgomery County,Maryland,49595,892,476,1368,Montgomery 
15,Prince George's County,Maryland,47507,1374,517,1891,Prince George's 
16,Queen Anne's County,Maryland,2190,50,39,89,Queen Anne's 
17,St. Mary's County,Maryland,6586,113,105,218,St. Mary's 
18,Somerset County,Maryland,1579,18,68,86,Somerset 
19,Talbot County,Maryland,1625,49,26,75,Talbot 
20,Washington County,Maryland,6731,339,122,461,Washington 
21,Wicomico County,Maryland,7848,259,140,399,Wicomico 
22,Worcester County,Maryland,1930,98,42,140,Worcester 
23,Baltimore city,Maryland,29083,877,612,1489,Baltimore city
0,Alameda County,California,75033,1277,1158,2435,Alameda 
1,Alpine County,California,27,0,0,0,Alpine 
2,Amador County,California,1526,23,64,87,Amador 
3,Butte County,California,13116,292,278,570,Butte 
4,Calaveras County,California,1887,8,0,8,Calaveras 
5,Colusa County,California,1341,0,5,5,Colusa 
6,Contra Costa County,California,57664,829,663,1492,Contra Costa 
7,Del Norte County,California,1146,34,34,68,Del Norte 
8,El Dorado County,California,8902,498,393,891,El Dorado 
9,Fresno County,California,57175,1758,1271,3029,Fresno 
10,Glenn County,California,1646,46,17,63,Glenn 
11,Humboldt County,California,7391,100,118,218,Humboldt 
12,Imperial County,California,11042,210,37,247,Imperial 
13,Inyo County,California,764,0,4,4,Inyo 
14,Kern County,California,51710,1550,1085,2635,Kern 
15,Kings County,California,8094,158,39,197,Kings 
16,Lake County,California,2680,153,0,153,Lake 
17,Lassen County,California,1006,56,10,66,Lassen 
18,Los Angeles County,California,506395,12293,7197,19490,Los Angeles 
19,Madera County,California,9165,149,113,262,Madera 
20,Marin County,California,11608,165,163,328,Marin 
21,Mariposa County,California,433,2,0,2,Mariposa 
22,Mendocino County,California,4210,71,67,138,Mendocino 
23,Merced County,California,18897,442,176,618,Merced 
24,Modoc County,California,334,11,0,11,Modoc 
25,Mono County,California,573,3,32,35,Mono 
26,Monterey County,California,24924,989,568,1557,Monterey 
27,Napa County,California,7464,144,220,364,Napa 
28,Nevada County,California,3956,12,38,50,Nevada 
29,Orange County,California,163987,2716,1480,4196,Orange 
30,Placer County,California,19030,387,242,629,Placer 
31,Plumas County,California,995,52,0,52,Plumas 
32,Riverside County,California,141863,2346,1214,3560,Riverside 
33,Sacramento County,California,74532,1521,811,2332,Sacramento 
34,San Benito County,California,3553,26,10,36,San Benito 
35,San Bernardino County,California,124735,2970,2157,5127,San Bernardino 
36,San Diego County,California,167498,2872,2206,5078,San Diego 
37,San Francisco County,California,25111,309,43,352,San Francisco 
38,San Joaquin County,California,44050,1282,650,1932,San Joaquin 
39,San Luis Obispo County,California,19356,168,216,384,San Luis Obispo 
40,San Mateo County,California,32591,462,348,810,San Mateo 
41,Santa Barbara County,California,32625,651,271,922,Santa Barbara 
42,Santa Clara County,California,91069,1043,783,1826,Santa Clara 
43,Santa Cruz County,California,19926,270,68,338,Santa Cruz 
44,Shasta County,California,8066,126,74,200,Shasta 
45,Sierra County,California,115,0,0,0,Sierra 
46,Siskiyou County,California,2037,36,5,41,Siskiyou 
47,Solano County,California,20934,568,333,901,Solano 
48,Sonoma County,California,23815,545,303,848,Sonoma 
49,Stanislaus County,California,30958,331,315,646,Stanislaus 
50,Sutter County,California,5144,109,77,186,Sutter 
51,Tehama County,California,2933,3,16,19,Tehama 
52,Trinity County,California,523,0,0,0,Trinity 
53,Tulare County,California,29748,764,326,1090,Tulare 
54,Tuolumne County,California,1879,0,26,26,Tuolumne 
55,Ventura County,California,44708,1075,552,1627,Ventura 
56,Yolo County,California,18567,418,108,526,Yolo 
57,Yuba County,California,3728,84,40,124,Yuba 
0,Adair County,Missouri,2538,42,84,126,Adair 
1,Andrew County,Missouri,919,0,1,1,Andrew 
2,Atchison County,Missouri,191,6,10,16,Atchison 
3,Audrain County,Missouri,1282,32,62,94,Audrain 
4,Barry County,Missouri,1816,302,26,328,Barry 
5,Barton County,Missouri,669,39,90,129,Barton 
6,Bates County,Missouri,841,49,67,116,Bates 
7,Benton County,Missouri,675,7,70,77,Benton 
8,Bollinger County,Missouri,667,60,0,60,Bollinger 
9,Boone County,Missouri,12783,131,149,280,Boone 
10,Buchanan County,Missouri,4739,373,216,589,Buchanan 
11,Butler County,Missouri,2254,122,112,234,Butler 
12,Caldwell County,Missouri,497,24,29,53,Caldwell 
13,Callaway County,Missouri,2583,26,77,103,Callaway 
14,Camden County,Missouri,1971,113,74,187,Camden 
15,Cape Girardeau County,Missouri,4625,44,214,258,Cape Girardeau 
16,Carroll County,Missouri,367,3,42,45,Carroll 
17,Carter County,Missouri,439,4,3,7,Carter 
18,Cass County,Missouri,5688,269,89,358,Cass 
19,Cedar County,Missouri,660,107,67,174,Cedar 
20,Chariton County,Missouri,342,79,53,132,Chariton 
21,Christian County,Missouri,4410,46,71,117,Christian 
22,Clark County,Missouri,226,14,0,14,Clark 
23,Clay County,Missouri,12379,230,287,517,Clay 
24,Clinton County,Missouri,1227,9,69,78,Clinton 
25,Cole County,Missouri,4001,106,63,169,Cole 
26,Cooper County,Missouri,889,18,2,20,Cooper 
27,Crawford County,Missouri,947,16,34,50,Crawford 
28,Dade County,Missouri,426,5,6,11,Dade 
29,Dallas County,Missouri,843,115,133,248,Dallas 
30,Daviess County,Missouri,475,70,126,196,Daviess 
31,DeKalb County,Missouri,462,29,3,32,DeKalb 
32,Dent County,Missouri,789,0,8,8,Dent 
33,Douglas County,Missouri,518,28,0,28,Douglas 
34,Dunklin County,Missouri,1626,19,45,64,Dunklin 
35,Franklin County,Missouri,5114,76,151,227,Franklin 
36,Gasconade County,Missouri,611,19,6,25,Gasconade 
37,Gentry County,Missouri,295,38,20,58,Gentry 
38,Greene County,Missouri,16211,512,766,1278,Greene 
39,Grundy County,Missouri,597,45,17,62,Grundy 
40,Harrison County,Missouri,404,15,6,21,Harrison 
41,Henry County,Missouri,1038,53,12,65,Henry 
42,Hickory County,Missouri,462,175,0,175,Hickory 
43,Holt County,Missouri,165,2,0,2,Holt 
44,Howard County,Missouri,683,158,0,158,Howard 
45,Howell County,Missouri,1935,121,98,219,Howell 
46,Iron County,Missouri,440,4,13,17,Iron 
47,Jackson County,Missouri,33210,1163,560,1723,Jackson 
48,Jasper County,Missouri,6233,106,89,195,Jasper 
49,Jefferson County,Missouri,10743,244,89,333,Jefferson 
50,Johnson County,Missouri,3740,109,235,344,Johnson 
51,Knox County,Missouri,273,82,70,152,Knox 
52,Laclede County,Missouri,1635,30,8,38,Laclede 
53,Lafayette County,Missouri,1651,59,6,65,Lafayette 
54,Lawrence County,Missouri,2024,257,160,417,Lawrence 
55,Lewis County,Missouri,806,2,29,31,Lewis 
56,Lincoln County,Missouri,3312,129,35,164,Lincoln 
57,Linn County,Missouri,620,61,1,62,Linn 
58,Livingston County,Missouri,562,12,0,12,Livingston 
59,McDonald County,Missouri,1199,16,59,75,McDonald 
60,Macon County,Missouri,762,11,20,31,Macon 
61,Madison County,Missouri,694,0,0,0,Madison 
62,Maries County,Missouri,441,0,15,15,Maries 
63,Marion County,Missouri,1567,41,50,91,Marion 
64,Mercer County,Missouri,225,0,0,0,Mercer 
65,Miller County,Missouri,1102,11,114,125,Miller 
66,Mississippi County,Missouri,556,39,11,50,Mississippi 
67,Moniteau County,Missouri,843,274,55,329,Moniteau 
68,Monroe County,Missouri,408,79,28,107,Monroe 
69,Montgomery County,Missouri,507,47,20,67,Montgomery 
70,Morgan County,Missouri,961,272,263,535,Morgan 
71,New Madrid County,Missouri,679,60,28,88,New Madrid 
72,Newton County,Missouri,2895,97,62,159,Newton 
73,Nodaway County,Missouri,2912,22,51,73,Nodaway 
74,Oregon County,Missouri,448,70,16,86,Oregon 
75,Osage County,Missouri,736,37,50,87,Osage 
76,Ozark County,Missouri,461,8,0,8,Ozark 
77,Pemiscot County,Missouri,792,71,68,139,Pemiscot 
78,Perry County,Missouri,944,0,6,6,Perry 
79,Pettis County,Missouri,2370,26,15,41,Pettis 
80,Phelps County,Missouri,3481,38,53,91,Phelps 
81,Pike County,Missouri,815,28,102,130,Pike 
82,Platte County,Missouri,4842,228,88,316,Platte 
83,Polk County,Missouri,2034,82,65,147,Polk 
84,Pulaski County,Missouri,6691,11,27,38,Pulaski 
85,Putnam County,Missouri,261,10,0,10,Putnam 
86,Ralls County,Missouri,468,18,40,58,Ralls 
87,Randolph County,Missouri,1137,92,27,119,Randolph 
88,Ray County,Missouri,1070,72,21,93,Ray 
89,Reynolds County,Missouri,303,0,19,19,Reynolds 
90,Ripley County,Missouri,545,0,15,15,Ripley 
91,St. Charles County,Missouri,19828,291,89,380,St. Charles 
92,St. Clair County,Missouri,317,12,20,32,St. Clair 
93,Ste. Genevieve County,Missouri,802,93,36,129,Ste. Genevieve 
94,St. Francois County,Missouri,3191,124,56,180,St. Francois 
95,St. Louis County,Missouri,50035,877,693,1570,St. Louis 
96,Saline County,Missouri,1764,63,3,66,Saline 
97,Schuyler County,Missouri,266,31,51,82,Schuyler 
98,Scotland County,Missouri,289,106,58,164,Scotland 
99,Scott County,Missouri,1586,89,10,99,Scott 
100,Shannon County,Missouri,329,0,85,85,Shannon 
101,Shelby County,Missouri,296,25,8,33,Shelby 
102,Stoddard County,Missouri,1430,92,48,140,Stoddard 
103,Stone County,Missouri,1281,14,24,38,Stone 
104,Sullivan County,Missouri,273,5,6,11,Sullivan 
105,Taney County,Missouri,2902,74,45,119,Taney 
106,Texas County,Missouri,1239,92,56,148,Texas 
107,Vernon County,Missouri,1230,97,153,250,Vernon 
108,Warren County,Missouri,1704,4,152,156,Warren 
109,Washington County,Missouri,1344,33,33,66,Washington 
110,Wayne County,Missouri,620,14,0,14,Wayne 
111,Webster County,Missouri,2198,468,272,740,Webster 
112,Worth County,Missouri,66,0,2,2,Worth 
113,Wright County,Missouri,994,93,157,250,Wright 
114,St. Louis city,Missouri,12753,418,240,658,St. Louis city
0,Aitkin County,Minnesota,561,33,5,38,Aitkin 
1,Anoka County,Minnesota,17438,618,277,895,Anoka 
2,Becker County,Minnesota,1675,65,49,114,Becker 
3,Beltrami County,Minnesota,2820,100,98,198,Beltrami 
4,Benton County,Minnesota,1796,123,46,169,Benton 
5,Big Stone County,Minnesota,136,6,11,17,Big Stone 
6,Blue Earth County,Minnesota,5261,94,47,141,Blue Earth 
7,Brown County,Minnesota,1461,12,7,19,Brown 
8,Carlton County,Minnesota,1672,42,20,62,Carlton 
9,Carver County,Minnesota,6085,98,26,124,Carver 
10,Cass County,Minnesota,1219,62,38,100,Cass 
11,Chippewa County,Minnesota,544,2,2,4,Chippewa 
12,Chisago County,Minnesota,2887,89,28,117,Chisago 
13,Clay County,Minnesota,4597,46,61,107,Clay 
14,Clearwater County,Minnesota,439,20,9,29,Clearwater 
15,Cook County,Minnesota,156,20,0,20,Cook 
16,Cottonwood County,Minnesota,544,12,0,12,Cottonwood 
17,Crow Wing County,Minnesota,2906,58,184,242,Crow Wing 
18,Dakota County,Minnesota,20625,484,201,685,Dakota 
19,Dodge County,Minnesota,1130,5,2,7,Dodge 
20,Douglas County,Minnesota,1432,47,1,48,Douglas 
21,Faribault County,Minnesota,569,3,19,22,Faribault 
22,Fillmore County,Minnesota,961,104,53,157,Fillmore 
23,Freeborn County,Minnesota,1283,147,29,176,Freeborn 
24,Goodhue County,Minnesota,2241,36,0,36,Goodhue 
25,Grant County,Minnesota,206,0,1,1,Grant 
26,Hennepin County,Minnesota,57118,1326,734,2060,Hennepin 
27,Houston County,Minnesota,747,0,0,0,Houston 
28,Hubbard County,Minnesota,877,75,12,87,Hubbard 
29,Isanti County,Minnesota,1788,91,38,129,Isanti 
30,Itasca County,Minnesota,2283,74,0,74,Itasca 
31,Jackson County,Minnesota,409,1,10,11,Jackson 
32,Kanabec County,Minnesota,780,80,13,93,Kanabec 
33,Kandiyohi County,Minnesota,1905,50,91,141,Kandiyohi 
34,Kittson County,Minnesota,172,0,0,0,Kittson 
35,Koochiching County,Minnesota,611,2,3,5,Koochiching 
36,Lac qui Parle County,Minnesota,313,0,4,4,Lac qui Parle 
37,Lake County,Minnesota,344,6,47,53,Lake 
38,Lake of the Woods County,Minnesota,150,0,0,0,Lake of the Woods 
39,Le Sueur County,Minnesota,1363,64,26,90,Le Sueur 
40,Lincoln County,Minnesota,244,7,4,11,Lincoln 
41,Lyon County,Minnesota,1646,45,25,70,Lyon 
42,McLeod County,Minnesota,1738,0,31,31,McLeod 
43,Mahnomen County,Minnesota,298,30,23,53,Mahnomen 
44,Marshall County,Minnesota,432,2,2,4,Marshall 
45,Martin County,Minnesota,862,4,17,21,Martin 
46,Meeker County,Minnesota,1172,32,15,47,Meeker 
47,Mille Lacs County,Minnesota,1265,114,21,135,Mille Lacs 
48,Morrison County,Minnesota,1533,55,12,67,Morrison 
49,Mower County,Minnesota,1962,140,154,294,Mower 
50,Murray County,Minnesota,352,30,14,44,Murray 
51,Nicollet County,Minnesota,2187,36,10,46,Nicollet 
52,Nobles County,Minnesota,1079,77,4,81,Nobles 
53,Norman County,Minnesota,318,12,24,36,Norman 
54,Olmsted County,Minnesota,7051,341,37,378,Olmsted 
55,Otter Tail County,Minnesota,2607,66,104,170,Otter Tail 
56,Pennington County,Minnesota,666,4,0,4,Pennington 
57,Pine County,Minnesota,1364,65,31,96,Pine 
58,Pipestone County,Minnesota,412,3,68,71,Pipestone 
59,Polk County,Minnesota,1590,58,89,147,Polk 
60,Pope County,Minnesota,421,25,8,33,Pope 
61,Ramsey County,Minnesota,28293,925,730,1655,Ramsey 
62,Red Lake County,Minnesota,174,0,6,6,Red Lake 
63,Redwood County,Minnesota,780,5,15,20,Redwood 
64,Renville County,Minnesota,630,64,23,87,Renville 
65,Rice County,Minnesota,4704,31,62,93,Rice 
66,Rock County,Minnesota,509,46,17,63,Rock 
67,Roseau County,Minnesota,723,21,19,40,Roseau 
68,St. Louis County,Minnesota,11911,272,210,482,St. Louis 
69,Scott County,Minnesota,8031,294,119,413,Scott 
70,Sherburne County,Minnesota,5487,342,57,399,Sherburne 
71,Sibley County,Minnesota,685,45,0,45,Sibley 
72,Stearns County,Minnesota,10892,139,183,322,Stearns 
73,Steele County,Minnesota,1782,1,36,37,Steele 
74,Stevens County,Minnesota,865,22,76,98,Stevens 
75,Swift County,Minnesota,428,0,6,6,Swift 
76,Todd County,Minnesota,1057,120,73,193,Todd 
77,Traverse County,Minnesota,104,0,6,6,Traverse 
78,Wabasha County,Minnesota,967,84,22,106,Wabasha 
79,Wadena County,Minnesota,651,45,27,72,Wadena 
80,Waseca County,Minnesota,967,27,0,27,Waseca 
81,Washington County,Minnesota,13094,193,187,380,Washington 
82,Watonwan County,Minnesota,674,2,81,83,Watonwan 
83,Wilkin County,Minnesota,253,0,0,0,Wilkin 
84,Winona County,Minnesota,4117,19,44,63,Winona 
85,Wright County,Minnesota,7757,278,150,428,Wright 
86,Yellow Medicine County,Minnesota,439,5,0,5,Yellow Medicine 
0,Alachua County,Florida,19413,303,215,518,Alachua 
1,Baker County,Florida,1158,56,0,56,Baker 
2,Bay County,Florida,7836,228,42,270,Bay 
3,Bradford County,Florida,1171,22,68,90,Bradford 
4,Brevard County,Florida,25565,891,393,1284,Brevard 
5,Broward County,Florida,87888,2475,1259,3734,Broward 
6,Calhoun County,Florida,384,109,0,109,Calhoun 
7,Charlotte County,Florida,5352,271,15,286,Charlotte 
8,Citrus County,Florida,4817,34,202,236,Citrus 
9,Clay County,Florida,11430,535,249,784,Clay 
10,Collier County,Florida,14391,631,173,804,Collier 
11,Columbia County,Florida,3575,354,203,557,Columbia 
12,DeSoto County,Florida,2001,171,337,508,DeSoto 
13,Dixie County,Florida,672,32,0,32,Dixie 
14,Duval County,Florida,43686,1440,968,2408,Duval 
15,Escambia County,Florida,18242,1008,143,1151,Escambia 
16,Flagler County,Florida,4560,5,108,113,Flagler 
17,Franklin County,Florida,408,14,46,60,Franklin 
18,Gadsden County,Florida,1811,78,109,187,Gadsden 
19,Gilchrist County,Florida,1407,115,18,133,Gilchrist 
20,Glades County,Florida,503,151,0,151,Glades 
21,Gulf County,Florida,556,2,28,30,Gulf 
22,Hamilton County,Florida,594,53,20,73,Hamilton 
23,Hardee County,Florida,1361,192,6,198,Hardee 
24,Hendry County,Florida,2077,172,109,281,Hendry 
25,Hernando County,Florida,7660,578,335,913,Hernando 
26,Highlands County,Florida,3747,302,132,434,Highlands 
27,Hillsborough County,Florida,72963,2768,1725,4493,Hillsborough 
28,Holmes County,Florida,861,63,24,87,Holmes 
29,Indian River County,Florida,5897,282,99,381,Indian River 
30,Jackson County,Florida,2240,101,55,156,Jackson 
31,Jefferson County,Florida,594,0,0,0,Jefferson 
32,Lafayette County,Florida,440,0,0,0,Lafayette 
33,Lake County,Florida,14471,829,304,1133,Lake 
34,Lee County,Florida,30487,1407,1181,2588,Lee 
35,Leon County,Florida,22978,498,138,636,Leon 
36,Levy County,Florida,1528,59,57,116,Levy 
37,Liberty County,Florida,458,41,11,52,Liberty 
38,Madison County,Florida,927,125,3,128,Madison 
39,Manatee County,Florida,15525,1057,619,1676,Manatee 
40,Marion County,Florida,14547,486,612,1098,Marion 
41,Martin County,Florida,5896,224,190,414,Martin 
42,Miami-Dade County,Florida,126101,4757,1895,6652,Miami-Dade 
43,Monroe County,Florida,2588,48,0,48,Monroe 
44,Nassau County,Florida,3451,77,118,195,Nassau 
45,Okaloosa County,Florida,9007,452,322,774,Okaloosa 
46,Okeechobee County,Florida,2472,250,195,445,Okeechobee 
47,Orange County,Florida,71618,1594,778,2372,Orange 
48,Osceola County,Florida,20852,830,564,1394,Osceola 
49,Palm Beach County,Florida,64790,2602,1195,3797,Palm Beach 
50,Pasco County,Florida,23936,889,691,1580,Pasco 
51,Pinellas County,Florida,35126,1120,875,1995,Pinellas 
52,Polk County,Florida,34726,1561,769,2330,Polk 
53,Putnam County,Florida,2882,217,89,306,Putnam 
54,St. Johns County,Florida,12251,308,237,545,St. Johns 
55,St. Lucie County,Florida,14018,427,437,864,St. Lucie 
56,Santa Rosa County,Florida,8765,242,142,384,Santa Rosa 
57,Sarasota County,Florida,14700,606,136,742,Sarasota 
58,Seminole County,Florida,21799,645,204,849,Seminole 
59,Sumter County,Florida,2466,326,169,495,Sumter 
60,Suwannee County,Florida,2335,138,43,181,Suwannee 
61,Taylor County,Florida,1200,370,0,370,Taylor 
62,Union County,Florida,445,92,13,105,Union 
63,Volusia County,Florida,23832,960,731,1691,Volusia 
64,Wakulla County,Florida,1371,59,0,59,Wakulla 
65,Walton County,Florida,2890,0,62,62,Walton 
66,Washington County,Florida,952,106,23,129,Washington 
0,Adams County,Indiana,1887,610,312,922,Adams 
1,Allen County,Indiana,20649,1057,595,1652,Allen 
2,Bartholomew County,Indiana,4031,61,105,166,Bartholomew 
3,Benton County,Indiana,421,18,8,26,Benton 
4,Blackford County,Indiana,539,27,16,43,Blackford 
5,Boone County,Indiana,3332,112,17,129,Boone 
6,Brown County,Indiana,628,33,0,33,Brown 
7,Carroll County,Indiana,1011,82,8,90,Carroll 
8,Cass County,Indiana,2074,38,53,91,Cass 
9,Clark County,Indiana,5492,53,115,168,Clark 
10,Clay County,Indiana,1114,46,125,171,Clay 
11,Clinton County,Indiana,1685,23,17,40,Clinton 
12,Crawford County,Indiana,425,21,34,55,Crawford 
13,Daviess County,Indiana,1982,564,550,1114,Daviess 
14,Dearborn County,Indiana,2702,83,144,227,Dearborn 
15,Decatur County,Indiana,1287,26,8,34,Decatur 
16,DeKalb County,Indiana,2243,54,25,79,DeKalb 
17,Delaware County,Indiana,9290,206,96,302,Delaware 
18,Dubois County,Indiana,1901,40,51,91,Dubois 
19,Elkhart County,Indiana,11604,1082,1231,2313,Elkhart 
20,Fayette County,Indiana,1295,43,123,166,Fayette 
21,Floyd County,Indiana,4030,6,11,17,Floyd 
22,Fountain County,Indiana,692,38,50,88,Fountain 
23,Franklin County,Indiana,1216,80,15,95,Franklin 
24,Fulton County,Indiana,892,55,45,100,Fulton 
25,Gibson County,Indiana,1837,10,49,59,Gibson 
26,Grant County,Indiana,4229,200,66,266,Grant 
27,Greene County,Indiana,1619,99,0,99,Greene 
28,Hamilton County,Indiana,17328,552,428,980,Hamilton 
29,Hancock County,Indiana,3882,196,23,219,Hancock 
30,Harrison County,Indiana,1735,0,32,32,Harrison 
31,Hendricks County,Indiana,8868,217,77,294,Hendricks 
32,Henry County,Indiana,2225,75,62,137,Henry 
33,Howard County,Indiana,4121,107,75,182,Howard 
34,Huntington County,Indiana,2030,94,20,114,Huntington 
35,Jackson County,Indiana,2090,37,47,84,Jackson 
36,Jasper County,Indiana,2004,69,24,93,Jasper 
37,Jay County,Indiana,968,43,41,84,Jay 
38,Jefferson County,Indiana,1791,51,5,56,Jefferson 
39,Jennings County,Indiana,1373,46,0,46,Jennings 
40,Johnson County,Indiana,8355,177,215,392,Johnson 
41,Knox County,Indiana,2409,16,0,16,Knox 
42,Kosciusko County,Indiana,4449,463,361,824,Kosciusko 
43,LaGrange County,Indiana,2634,1222,1166,2388,LaGrange 
44,Lake County,Indiana,25944,472,443,915,Lake 
45,LaPorte County,Indiana,4782,287,129,416,LaPorte 
46,Lawrence County,Indiana,2406,266,86,352,Lawrence 
47,Madison County,Indiana,6751,309,136,445,Madison 
48,Marion County,Indiana,47098,1688,1531,3219,Marion 
49,Marshall County,Indiana,2465,179,305,484,Marshall 
50,Martin County,Indiana,514,28,23,51,Martin 
51,Miami County,Indiana,1689,25,25,50,Miami 
52,Monroe County,Indiana,14569,135,100,235,Monroe 
53,Montgomery County,Indiana,2080,96,25,121,Montgomery 
54,Morgan County,Indiana,3674,89,130,219,Morgan 
55,Newton County,Indiana,709,4,24,28,Newton 
56,Noble County,Indiana,2410,109,53,162,Noble 
57,Ohio County,Indiana,191,0,0,0,Ohio 
58,Orange County,Indiana,955,126,71,197,Orange 
59,Owen County,Indiana,937,0,38,38,Owen 
60,Parke County,Indiana,657,191,24,215,Parke 
61,Perry County,Indiana,692,74,4,78,Perry 
62,Pike County,Indiana,674,6,48,54,Pike 
63,Porter County,Indiana,9093,231,44,275,Porter 
64,Posey County,Indiana,1209,32,5,37,Posey 
65,Pulaski County,Indiana,634,11,0,11,Pulaski 
66,Putnam County,Indiana,2657,52,4,56,Putnam 
67,Randolph County,Indiana,1298,29,10,39,Randolph 
68,Ripley County,Indiana,1554,99,64,163,Ripley 
69,Rush County,Indiana,871,115,70,185,Rush 
70,St. Joseph County,Indiana,16262,370,423,793,St. Joseph 
71,Scott County,Indiana,1076,76,26,102,Scott 
72,Shelby County,Indiana,2090,164,93,257,Shelby 
73,Spencer County,Indiana,903,70,6,76,Spencer 
74,Starke County,Indiana,1121,6,104,110,Starke 
75,Steuben County,Indiana,1840,31,61,92,Steuben 
76,Sullivan County,Indiana,886,5,10,15,Sullivan 
77,Switzerland County,Indiana,573,30,0,30,Switzerland 
78,Tippecanoe County,Indiana,17393,190,96,286,Tippecanoe 
79,Tipton County,Indiana,704,50,33,83,Tipton 
80,Union County,Indiana,326,12,0,12,Union 
81,Vanderburgh County,Indiana,9168,294,141,435,Vanderburgh 
82,Vermillion County,Indiana,755,14,14,28,Vermillion 
83,Vigo County,Indiana,6941,168,221,389,Vigo 
84,Wabash County,Indiana,1774,117,1,118,Wabash 
85,Warren County,Indiana,269,2,0,2,Warren 
86,Warrick County,Indiana,3370,80,39,119,Warrick 
87,Washington County,Indiana,1327,218,46,264,Washington 
88,Wayne County,Indiana,3393,160,66,226,Wayne 
89,Wells County,Indiana,1419,65,39,104,Wells 
90,White County,Indiana,1173,98,0,98,White 
91,Whitley County,Indiana,1628,70,58,128,Whitley 
0,Aleutians East Borough,Alaska,112,2,0,2,Aleutians East Borough
1,Aleutians West Census Area,Alaska,251,20,0,20,Aleutians West Census Area
2,Anchorage Municipality,Alaska,14043,370,145,515,Anchorage Municipality
3,Bethel Census Area,Alaska,1195,67,24,91,Bethel Census Area
4,Bristol Bay Borough,Alaska,24,0,0,0,Bristol Bay Borough
5,Denali Borough,Alaska,149,10,0,10,Denali Borough
6,Dillingham Census Area,Alaska,297,8,17,25,Dillingham Census Area
7,Fairbanks North Star Borough,Alaska,4874,22,3,25,Fairbanks North Star Borough
8,Haines Borough,Alaska,65,0,0,0,Haines Borough
9,Hoonah-Angoon Census Area,Alaska,47,0,13,13,Hoonah-Angoon Census Area
10,Juneau City and Borough,Alaska,1404,0,78,78,Juneau City and Borough
11,Kenai Peninsula Borough,Alaska,2852,58,15,73,Kenai Peninsula Borough
12,Ketchikan Gateway Borough,Alaska,579,44,0,44,Ketchikan Gateway Borough
13,Kodiak Island Borough,Alaska,716,8,26,34,Kodiak Island Borough
14,Kusilvak Census Area,Alaska,570,47,27,74,Kusilvak Census Area
15,Lake and Peninsula Borough,Alaska,65,1,1,2,Lake and Peninsula Borough
16,Matanuska-Susitna Borough,Alaska,5669,334,125,459,Matanuska-Susitna Borough
17,Nome Census Area,Alaska,626,8,6,14,Nome Census Area
18,North Slope Borough,Alaska,492,13,6,19,North Slope Borough
19,Northwest Arctic Borough,Alaska,510,12,18,30,Northwest Arctic Borough
20,Petersburg Borough,Alaska,118,0,0,0,Petersburg Borough
21,Prince of Wales-Hyder Census Area,Alaska,283,6,6,12,Prince of Wales-Hyder Census Area
22,Sitka City and Borough,Alaska,410,37,32,69,Sitka City and Borough
23,Skagway Municipality,Alaska,58,0,0,0,Skagway Municipality
24,Southeast Fairbanks Census Area,Alaska,350,26,0,26,Southeast Fairbanks Census Area
25,Wrangell City and Borough,Alaska,119,8,0,8,Wrangell City and Borough
26,Yakutat City and Borough,Alaska,10,0,0,0,Yakutat City and Borough
27,Yukon-Koyukuk Census Area,Alaska,271,12,4,16,Yukon-Koyukuk Census Area
28,Chugach Census Area,Alaska,228,1,0,1,Chugach Census Area
29,Copper River Census Area,Alaska,86,0,8,8,Copper River Census Area
0,Kent County,Delaware,9436,684,528,1212,Kent 
1,New Castle County,Delaware,30809,694,629,1323,New Castle 
2,Sussex County,Delaware,8505,440,239,679,Sussex 
0,Adams County,Washington,1185,30,29,59,Adams 
1,Asotin County,Washington,1040,185,151,336,Asotin 
2,Benton County,Washington,10690,536,138,674,Benton 
3,Chelan County,Washington,3546,91,155,246,Chelan 
4,Clallam County,Washington,2817,85,123,208,Clallam 
5,Clark County,Washington,24238,806,665,1471,Clark 
6,Columbia County,Washington,109,0,0,0,Columbia 
7,Cowlitz County,Washington,5215,141,116,257,Cowlitz 
8,Douglas County,Washington,2196,99,26,125,Douglas 
9,Ferry County,Washington,273,10,6,16,Ferry 
10,Franklin County,Washington,6115,160,66,226,Franklin 
11,Garfield County,Washington,143,0,0,0,Garfield 
12,Grant County,Washington,5319,196,113,309,Grant 
13,Grays Harbor County,Washington,3158,211,74,285,Grays Harbor 
14,Island County,Washington,3239,160,50,210,Island 
15,Jefferson County,Washington,817,63,33,96,Jefferson 
16,King County,Washington,94462,2677,1695,4372,King 
17,Kitsap County,Washington,11603,399,296,695,Kitsap 
18,Kittitas County,Washington,4186,64,74,138,Kittitas 
19,Klickitat County,Washington,921,28,12,40,Klickitat 
20,Lewis County,Washington,4011,154,211,365,Lewis 
21,Lincoln County,Washington,507,2,0,2,Lincoln 
22,Mason County,Washington,2938,34,222,256,Mason 
23,Okanogan County,Washington,1851,19,132,151,Okanogan 
24,Pacific County,Washington,928,92,18,110,Pacific 
25,Pend Oreille County,Washington,634,30,2,32,Pend Oreille 
26,Pierce County,Washington,41918,1310,1045,2355,Pierce 
27,San Juan County,Washington,526,2,14,16,San Juan 
28,Skagit County,Washington,5974,308,279,587,Skagit 
