County-State,Percentage-Private-School,Percentage-Public-School
CUSTER-MT,0.13333333333333333,0.8666666666666667
ORANGE-NY,0.21153846153846154,0.7884615384615384
ONTARIO-NY,0.14705882352941177,0.8529411764705882
PAULDING-OH,0.09090909090909091,0.9090909090909091
GRENADA-MS,0.14285714285714285,0.8571428571428571
HAWAII-HI,0.16417910447761194,0.835820895522388
LAFAYETTE-WI,0.05555555555555555,0.9444444444444444
OTTAWA-MI,0.175,0.825
HUNTERDON-NJ,0.09836065573770492,0.9016393442622951
OUACHITA-AR,0.1,0.9
WILLIAMSON-TN,0.2,0.8
MUSCATINE-IA,0.058823529411764705,0.9411764705882353
SHELBY-IN,0.10526315789473684,0.8947368421052632
BULLITT-KY,0.10344827586206896,0.896551724137931
PUTNAM-WV,0.08,0.92
FRANKLIN-NY,0.16,0.84
WILLIAMS-OH,0.10526315789473684,0.8947368421052632
PITTSBURG-OK,0.05555555555555555,0.9444444444444444
KNOX-TN,0.296875,0.703125
GRANT-WI,0.225,0.775
POPE-MN,0.1111111111111111,0.8888888888888888
FAULKNER-AR,0.04878048780487805,0.9512195121951219
RITCHIE-WV,0.14285714285714285,0.8571428571428571
HARRISON-WV,0.2,0.8
LEWIS-NY,0.2222222222222222,0.7777777777777778
WARREN-NY,0.05,0.95
MIDDLESEX-CT,0.1232876712328767,0.8767123287671232
CALLAWAY-MO,0.07692307692307693,0.9230769230769231
CROOK-OR,0.1111111111111111,0.8888888888888888
WATONWAN-MN,0.16666666666666666,0.8333333333333334
MONTGOMERY-KY,0.07692307692307693,0.9230769230769231
JASPER-IL,0.125,0.875
JACKSON-GA,0.09523809523809523,0.9047619047619048
OWYHEE-ID,0.09090909090909091,0.9090909090909091
LAUREL-KY,0.13043478260869565,0.8695652173913043
BIG HORN-MT,0.1111111111111111,0.8888888888888888
KERN-CA,0.10067114093959731,0.8993288590604027
HUMBOLDT-CA,0.1188118811881188,0.8811881188118812
MONTGOMERY-MS,0.16666666666666666,0.8333333333333334
LINCOLN-OR,0.1,0.9
ALACHUA-FL,0.25,0.75
BOISE-ID,0.14285714285714285,0.8571428571428571
WABASHA-MN,0.1875,0.8125
MONROE-IN,0.1794871794871795,0.8205128205128205
BOURBON-KY,0.09090909090909091,0.9090909090909091
NAPA-CA,0.28125,0.71875
DOUGLAS-WI,0.16666666666666666,0.8333333333333334
MONTCALM-MI,0.16666666666666666,0.8333333333333334
WILCOX-AL,0.14285714285714285,0.8571428571428571
DELAWARE-IN,0.07692307692307693,0.9230769230769231
BOONE-KY,0.275,0.725
MCKEAN-PA,0.2631578947368421,0.7368421052631579
WINNEBAGO-IL,0.2,0.8
IROQUOIS-IL,0.07692307692307693,0.9230769230769231
BURKE-GA,0.2857142857142857,0.7142857142857143
SUMMIT-OH,0.21875,0.78125
IMPERIAL-CA,0.0975609756097561,0.9024390243902439
DEL NORTE-CA,0.10526315789473684,0.8947368421052632
NEWTON-MS,0.07692307692307693,0.9230769230769231
DICKSON-TN,0.15789473684210525,0.8421052631578947
TANEY-MO,0.125,0.875
OTSEGO-MI,0.25,0.75
KITTSON-MN,0.14285714285714285,0.8571428571428571
RANDOLPH-AR,0.14285714285714285,0.8571428571428571
MONTGOMERY-NY,0.2727272727272727,0.7272727272727273
FAYETTE-GA,0.32432432432432434,0.6756756756756757
POLK-MO,0.09523809523809523,0.9047619047619048
COLLETON-SC,0.25,0.75
COLLIER-FL,0.23655913978494625,0.7634408602150538
CIBOLA-NM,0.10526315789473684,0.8947368421052632
MARENGO-AL,0.16666666666666666,0.8333333333333334
GREENE-NY,0.058823529411764705,0.9411764705882353
CACHE-UT,0.041666666666666664,0.9583333333333334
CARROLL-OH,0.08333333333333333,0.9166666666666666
MADISON-OH,0.15,0.85
SANTA CRUZ-CA,0.2358490566037736,0.7641509433962265
LEAKE-MS,0.1111111111111111,0.8888888888888888
CHARITON-MO,0.1111111111111111,0.8888888888888888
CRAWFORD-MO,0.1,0.9
DILLON-SC,0.07692307692307693,0.9230769230769231
GULF-FL,0.2222222222222222,0.7777777777777778
GRATIOT-MI,0.1,0.9
REDWOOD-MN,0.125,0.875
COLES-IL,0.19047619047619047,0.8095238095238095
GALLATIN-MT,0.21052631578947367,0.7894736842105263
MIAMI-OH,0.20930232558139536,0.7906976744186046
INYO-CA,0.038461538461538464,0.9615384615384616
SIOUX-IA,0.4444444444444444,0.5555555555555556
CHICKASAW-IA,0.1111111111111111,0.8888888888888888
MINIDOKA-ID,0.07692307692307693,0.9230769230769231
WASHINGTON-AR,0.11538461538461539,0.8846153846153846
SUFFOLK-MA,0.20952380952380953,0.7904761904761904
WHATCOM-WA,0.20833333333333334,0.7916666666666666
SALT LAKE-UT,0.14594594594594595,0.8540540540540541
HARDIN-TN,0.2222222222222222,0.7777777777777778
SUSSEX-NJ,0.1896551724137931,0.8103448275862069
CALHOUN-AL,0.13636363636363635,0.8636363636363636
JACKSON-MN,0.25,0.75
ST. LOUIS-MN,0.09090909090909091,0.9090909090909091
BULLOCH-GA,0.15789473684210525,0.8421052631578947
BENTON-TN,0.14285714285714285,0.8571428571428571
DENVER-CO,0.15873015873015872,0.8412698412698413
CHIPPEWA-WI,0.3333333333333333,0.6666666666666666
SAN JUAN-NM,0.08695652173913043,0.9130434782608695
MARTIN-MN,0.2777777777777778,0.7222222222222222
HENNEPIN-MN,0.13805309734513274,0.8619469026548673
WASHINGTON-MN,0.1415929203539823,0.8584070796460177
BARREN-KY,0.047619047619047616,0.9523809523809523
OHIO-WV,0.36363636363636365,0.6363636363636364
HENRY-IL,0.034482758620689655,0.9655172413793104
