County-State,Drop_Out_Rate_By_County,Graduation-Rate,Percentage of Teens Who Work Part or Full time,SVI,Percentage-Private-School,Percentage-Public-School
SHELBY-IL,0.07003089598352215,85.77,0.5550978372811535,0.085,0.17647058823529413,0.8235294117647058
STEPHENSON-IL,0.06607236497115888,85.99,0.6077608809648662,0.5,0.17857142857142858,0.8214285714285714
TAZEWELL-IL,0.07713588283157038,86.37,0.5134255492270138,0.107,0.13636363636363635,0.8636363636363636
VERMILION-IL,0.08809135399673736,78.71,0.35263730288200107,0.8131,0.06976744186046512,0.9302325581395349
WABASH-IL,0.11397849462365592,82.5,0.7204301075268817,0.3207,0.2857142857142857,0.7142857142857143
WARREN-IL,0.008340283569641367,84.01,0.6205170975813178,0.6073,0.08333333333333333,0.9166666666666666
WASHINGTON-IL,0.03179650238473768,83.24,0.5437201907790143,0.0653,0.3333333333333333,0.6666666666666666
WAYNE-IL,0.21477428180574556,83.45,0.5143638850889193,0.4331,0.07692307692307693,0.9230769230769231
WHITESIDE-IL,0.07334525939177101,88.87,0.5384615384615384,0.3283,0.15789473684210525,0.8421052631578947
WILL-IL,0.044977060195051016,88.62,0.5375686313836588,0.2022,0.2139917695473251,0.7860082304526749
WILLIAMSON-IL,0.04331306990881459,81.29,0.44262917933130697,0.4806,0.13793103448275862,0.8620689655172413
WINNEBAGO-IL,0.08864849676875527,74.47,0.4923433548749649,0.7204,0.2,0.8
WOODFORD-IL,0.020872865275142316,92.01,0.543168880455408,0.0188,0.13043478260869565,0.8695652173913043
ADAIR-OK,0.13366336633663367,85.51,0.31765676567656764,0.8965,0.1,0.9
BRYAN-OK,0.07377979568671963,84.21,0.4339765418085509,0.8127,0.041666666666666664,0.9583333333333334
CANADIAN-OK,0.038612123666801675,89.73,0.5604158228702578,0.2621,0.08163265306122448,0.9183673469387755
CARTER-OK,0.11324786324786325,79.44,0.5470085470085471,0.7914,0.06666666666666667,0.9333333333333333
CHEROKEE-OK,0.05589860253493663,84.49,0.506662333441664,0.9271,0.045454545454545456,0.9545454545454546
CHOCTAW-OK,0.1111111111111111,83.53,0.4098124098124098,0.9602,0.07142857142857142,0.9285714285714286
CLEVELAND-OK,0.02350920826671404,80.72,0.581986143187067,0.3436,0.12345679012345678,0.8765432098765432
COMANCHE-OK,0.05844330729868031,78.79,0.6167519525989765,0.8354,0.058823529411764705,0.9411764705882353
CRAIG-OK,0.1510989010989011,87.37,0.4107142857142857,0.8538,0.07142857142857142,0.9285714285714286
CREEK-OK,0.08226792662590328,87.37,0.35714285714285715,0.4901,0.05,0.95
DELAWARE-OK,0.10652065704330513,82.01,0.4848183175709308,0.7697,0.05,0.95
GARFIELD-OK,0.0705768611021592,88.22,0.5307766677408959,0.5908,0.10526315789473684,0.8947368421052632
GRADY-OK,0.05134150380920835,84.88,0.4243126863199735,0.308,0.02857142857142857,0.9714285714285714
JACKSON-OK,0.006405124099279423,85.78,0.4339471577261809,0.8226,0.047619047619047616,0.9523809523809523
KAY-OK,0.10335917312661498,80.11,0.520671834625323,0.842,0.08333333333333333,0.9166666666666666
KINGFISHER-OK,0.21769662921348315,91.74,0.46348314606741575,0.3806,0.10526315789473684,0.8947368421052632
LOGAN-OK,0.026278906797477224,80.0,0.5483531885073581,0.2984,0.07142857142857142,0.9285714285714286
MAYES-OK,0.177167219327333,81.54,0.4268119374703932,0.7519,0.043478260869565216,0.9565217391304348
MUSKOGEE-OK,0.11263187909894497,79.3,0.41146278870829767,0.9338,0.07317073170731707,0.926829268292683
OKLAHOMA-OK,0.08241183502689779,79.42,0.4541492329149233,0.6818,0.11721611721611722,0.8827838827838828
OKMULGEE-OK,0.08132260947274352,85.84,0.5116175156389634,0.8659,0.041666666666666664,0.9583333333333334
PAYNE-OK,0.022042093287827077,85.26,0.6079351535836177,0.5131,0.07142857142857142,0.9285714285714286
PITTSBURG-OK,0.1290994273815721,83.03,0.43519000520562207,0.8264,0.05555555555555555,0.9444444444444444
POTTAWATOMIE-OK,0.046281734441698495,77.56,0.495169624803415,0.7815,0.05263157894736842,0.9473684210526315
ROGERS-OK,0.051054154609342706,87.32,0.49503927242662255,0.2834,0.08108108108108109,0.918918918918919
TULSA-OK,0.08049488777300502,82.9,0.5009982455078952,0.6159,0.16818181818181818,0.8318181818181818
WAGONER-OK,0.04701718907987867,83.93,0.5197168857431749,0.4245,0.043478260869565216,0.9565217391304348
WASHINGTON-OK,0.07091391733029959,76.74,0.47667804323094426,0.4382,0.13043478260869565,0.8695652173913043
WOODWARD-OK,0.051594746716697934,82.17,0.5984990619136961,0.5745,0.07142857142857142,0.9285714285714286
ADAMS-WI,0.04790419161676647,92.19,0.592814371257485,0.5685,0.16666666666666666,0.8333333333333334
ASHLAND-WI,0.07809330628803246,89.69,0.6490872210953347,0.55,0.0625,0.9375
BARRON-WI,0.1421994884910486,87.33,0.7447570332480818,0.3271,0.17777777777777778,0.8222222222222222
BROWN-WI,0.03885495098735616,88.09,0.7150163375479471,0.3299,0.21904761904761905,0.780952380952381
BUFFALO-WI,0.07521367521367521,94.26,0.5794871794871795,0.0576,0.09090909090909091,0.9090909090909091
CALUMET-WI,0.008952899961074349,94.67,0.7205138186064617,0.0182,0.21428571428571427,0.7857142857142857
CHIPPEWA-WI,0.07012417823228634,91.63,0.6800584368151936,0.2105,0.3333333333333333,0.6666666666666666
CLARK-WI,0.45891472868217054,92.39,0.6640826873385013,0.535,0.48717948717948717,0.5128205128205128
COLUMBIA-WI,0.11764705882352941,93.49,0.7330022918258212,0.1204,0.2391304347826087,0.7608695652173914
CRAWFORD-WI,0.09261744966442953,95.11,0.5328859060402684,0.3971,0.16666666666666666,0.8333333333333334
DANE-WI,0.02,87.11,0.7178911564625851,0.1688,0.18357487922705315,0.8164251207729468
DODGE-WI,0.07243300610241443,92.36,0.6882462191562748,0.2019,0.2982456140350877,0.7017543859649122
DOOR-WI,0.12202380952380952,90.72,0.8432539682539683,0.0557,0.15,0.85
DUNN-WI,0.018207282913165267,92.63,0.7988795518207283,0.1847,0.19047619047619047,0.8095238095238095
EAU CLAIRE-WI,0.04407514450867052,89.02,0.7687861271676301,0.2175,0.2653061224489796,0.7346938775510204
FOND DU LAC-WI,0.023318042813455658,90.43,0.6678134556574924,0.2038,0.24561403508771928,0.7543859649122807
GRANT-WI,0.06505258009293226,92.27,0.6886769381266813,0.1939,0.225,0.775
GREEN-WI,0.02059357964869776,92.03,0.7038158691701999,0.0529,0.13043478260869565,0.8695652173913043
GREEN LAKE-WI,0.14613778705636743,92.57,0.6649269311064718,0.2869,0.375,0.625
IOWA-WI,0.030362389813907934,94.12,0.6209598432908913,0.0131,0.058823529411764705,0.9411764705882353
JACKSON-WI,0.034482758620689655,90.62,0.6144200626959248,0.5003,0.07692307692307693,0.9230769230769231
JEFFERSON-WI,0.04142011834319527,94.55,0.7165310650887574,0.1854,0.41509433962264153,0.5849056603773585
JUNEAU-WI,0.05665467625899281,87.47,0.7086330935251799,0.378,0.11538461538461539,0.8846153846153846
KENOSHA-WI,0.05558425457175328,88.63,0.6419051554912698,0.5111,0.15625,0.84375
KEWAUNEE-WI,0.03571428571428571,95.64,0.7402597402597403,0.0586,0.4117647058823529,0.5882352941176471
LA CROSSE-WI,0.015997901914503017,93.35,0.7109887227904537,0.2089,0.3275862068965517,0.6724137931034483
LANGLADE-WI,0.1717479674796748,91.27,0.6239837398373984,0.3535,0.07142857142857142,0.9285714285714286
LINCOLN-WI,0.05997001499250375,91.51,0.5967016491754122,0.1013,0.2777777777777778,0.7222222222222222
MANITOWOC-WI,0.035455486542443064,87.32,0.6482919254658385,0.1621,0.3404255319148936,0.6595744680851063
MARATHON-WI,0.06053674900884416,92.26,0.7101250381213785,0.1443,0.25,0.75
MARINETTE-WI,0.024858757062146894,92.45,0.6627118644067796,0.2971,0.2,0.8
MARQUETTE-WI,0.0892018779342723,88.17,0.676056338028169,0.2596,0.16666666666666666,0.8333333333333334
MILWAUKEE-WI,0.05633041842595001,74.35,0.5272647229503932,0.8061,0.30260047281323876,0.6973995271867612
MONROE-WI,0.13121185701830862,92.65,0.6390584132519617,0.4621,0.25,0.75
OCONTO-WI,0.053128689492325853,87.64,0.6641086186540732,0.064,0.125,0.875
ONEIDA-WI,0.01906941266209001,91.51,0.7650648360030511,0.014,0.1,0.9
OUTAGAMIE-WI,0.017730870712401054,91.6,0.6691292875989446,0.0978,0.2,0.8
OZAUKEE-WI,0.026118647499493823,95.71,0.7052034824863332,0.0134,0.28205128205128205,0.717948717948718
PEPIN-WI,0.18439716312056736,95.97,0.7163120567375887,0.1019,0.42857142857142855,0.5714285714285714
PIERCE-WI,0.024687595245352027,93.96,0.8189576348674185,0.0806,0.13793103448275862,0.8620689655172413
POLK-WI,0.04257475924987329,93.9,0.691839837810441,0.0873,0.037037037037037035,0.9629629629629629
PORTAGE-WI,0.03932009010853983,92.66,0.810976858488634,0.1653,0.2,0.8
RACINE-WI,0.11280549383962836,81.68,0.6030094930317108,0.4551,0.25,0.75
RICHLAND-WI,0.18772136953955135,92.0,0.602125147579693,0.3073,0.23076923076923078,0.7692307692307693
ROCK-WI,0.050184956843403204,91.41,0.6244143033292232,0.4561,0.14666666666666667,0.8533333333333334
RUSK-WI,0.17399267399267399,91.35,0.7271062271062271,0.3465,0.18181818181818182,0.8181818181818182
ST. CROIX-WI,0.01949317738791423,95.69,0.6824777994368638,0.0146,0.1388888888888889,0.8611111111111112
SAUK-WI,0.14504303474657315,92.87,0.7759005419190309,0.2344,0.21951219512195122,0.7804878048780488
SAWYER-WI,0.1263537906137184,83.28,0.6299638989169675,0.4268,0.14285714285714285,0.8571428571428571
SHAWANO-WI,0.05647176411794103,90.25,0.6526736631684158,0.1382,0.2916666666666667,0.7083333333333334
SHEBOYGAN-WI,0.026692941597993552,93.9,0.6897169473307059,0.2245,0.21875,0.78125
TAYLOR-WI,0.08736942070275404,92.56,0.6733143399810066,0.2,0.2857142857142857,0.7142857142857143
TREMPEALEAU-WI,0.09169675090252707,93.73,0.6339350180505415,0.2812,0.25806451612903225,0.7419354838709677
VERNON-WI,0.1795031055900621,95.44,0.6192546583850932,0.3834,0.2413793103448276,0.7586206896551724
VILAS-WI,0.13493253373313344,95.42,0.7856071964017991,0.1395,0.13333333333333333,0.8666666666666667
WALWORTH-WI,0.03465506125080593,90.49,0.7356544165054804,0.2688,0.25,0.75
WASHBURN-WI,0.0492845786963434,93.37,0.6422893481717011,0.108,0.05555555555555555,0.9444444444444444
WASHINGTON-WI,0.04085489968013958,92.54,0.7432393137539982,0.0099,0.3220338983050847,0.6779661016949152
WAUKESHA-WI,0.012291775425940867,94.07,0.7178586683118978,0.0194,0.3048780487804878,0.6951219512195121
WAUPACA-WI,0.07142857142857142,95.3,0.6928999144568007,0.1815,0.24324324324324326,0.7567567567567568
WAUSHARA-WI,0.14826498422712933,91.27,0.6813880126182965,0.3653,0.2,0.8
WINNEBAGO-WI,0.050185676392572945,90.81,0.7381432360742706,0.1608,0.22535211267605634,0.7746478873239436
WOOD-WI,0.027760051052967454,93.31,0.6710274409700063,0.1535,0.2708333333333333,0.7291666666666666
ANDROSCOGGIN-ME,0.0671559633027523,82.28,0.6539449541284403,0.5567,0.08870967741935484,0.9112903225806451
AROOSTOOK-ME,0.046973518284993694,89.35,0.5598991172761665,0.5946,0.02142857142857143,0.9785714285714285
CUMBERLAND-ME,0.022950819672131147,90.66,0.7322879543834641,0.1363,0.07936507936507936,0.9206349206349206
FRANKLIN-ME,0.04047619047619048,88.66,0.6714285714285714,0.215,0.019230769230769232,0.9807692307692307
HANCOCK-ME,0.01707317073170732,81.42,0.6814634146341464,0.193,0.06422018348623854,0.9357798165137615
KENNEBEC-ME,0.06383678841724251,87.01,0.6564659427443238,0.3787,0.046511627906976744,0.9534883720930233
KNOX-ME,0.14276568501920614,82.84,0.6907810499359796,0.1475,0.07246376811594203,0.927536231884058
OXFORD-ME,0.10314075222954634,84.05,0.5564172159751842,0.3726,0.09523809523809523,0.9047619047619048
PENOBSCOT-ME,0.030476833108412055,88.23,0.6428250112460638,0.4532,0.04888888888888889,0.9511111111111111
PISCATAQUIS-ME,0.025157232704402517,88.15,0.36981132075471695,0.4898,0.034482758620689655,0.9655172413793104
SAGADAHOC-ME,0.02595529920692141,86.61,0.7166546503244412,0.0522,0.05263157894736842,0.9473684210526315
SOMERSET-ME,0.041879944160074456,85.86,0.49976733364355513,0.622,0.05309734513274336,0.9469026548672567
WALDO-ME,0.15134529147982062,86.16,0.5728699551569507,0.2197,0.024390243902439025,0.975609756097561
YORK-ME,0.050127820384572634,87.09,0.7315771923974658,0.0936,0.07960199004975124,0.9203980099502488
ADAMS-PA,0.04449778434268833,91.69,0.7036558345642541,0.2118,0.25,0.75
ALLEGHENY-PA,0.03387419660731219,88.92,0.5839567309380816,0.2506,0.29095354523227385,0.7090464547677262
ARMSTRONG-PA,0.05415929203539823,89.22,0.46513274336283184,0.2475,0.37037037037037035,0.6296296296296297
BEAVER-PA,0.026346265199768383,74.26,0.5264910248986682,0.2481,0.14754098360655737,0.8524590163934426
BEDFORD-PA,0.09752808988764045,92.02,0.5973033707865169,0.2729,0.36666666666666664,0.6333333333333333
BERKS-PA,0.0632128681846668,83.86,0.6048464591602256,0.6162,0.32413793103448274,0.6758620689655173
BLAIR-PA,0.0977928145642017,88.19,0.5155469631061704,0.3981,0.36,0.64
BRADFORD-PA,0.06310505557547508,89.11,0.46181427034779493,0.3471,0.20833333333333334,0.7916666666666666
BUCKS-PA,0.03938216373314175,92.38,0.5567710544362081,0.0831,0.4084507042253521,0.5915492957746479
BUTLER-PA,0.02235318024791709,95.17,0.6335094492989229,0.079,0.35,0.65
CAMBRIA-PA,0.027403282532239157,89.59,0.5419109026963658,0.4892,0.23529411764705882,0.7647058823529411
CARBON-PA,0.13298073290517567,81.04,0.5742349829996222,0.3048,0.15384615384615385,0.8461538461538461
CENTRE-PA,0.04266023432115782,91.63,0.6436940041350793,0.2892,0.46875,0.53125
CHESTER-PA,0.031830511966486966,88.98,0.594032208220307,0.1436,0.4675925925925926,0.5324074074074074
CLARION-PA,0.10373792524149517,93.78,0.635447291054179,0.4771,0.41379310344827586,0.5862068965517241
CLEARFIELD-PA,0.05593275137407048,89.29,0.5389589395408988,0.6054,0.34375,0.65625
CLINTON-PA,0.22087175188600167,92.78,0.5859178541492037,0.486,0.625,0.375
COLUMBIA-PA,0.049784041827688114,87.52,0.2843828142759718,0.2768,0.24,0.76
CRAWFORD-PA,0.1506640539952101,90.26,0.5573699107337252,0.5064,0.5806451612903226,0.41935483870967744
CUMBERLAND-PA,0.05487941461957739,90.37,0.6816993952064512,0.1615,0.3958333333333333,0.6041666666666666
DAUPHIN-PA,0.1087738086131722,83.88,0.5317065707947678,0.4975,0.3706896551724138,0.6293103448275862
DELAWARE-PA,0.03737431227471068,76.45,0.5237779042559919,0.4131,0.40437158469945356,0.5956284153005464
ELK-PA,0.04100946372239748,91.5,0.6561514195583596,0.1166,0.3333333333333333,0.6666666666666666
ERIE-PA,0.053542278811622594,86.64,0.5808031341821743,0.6194,0.2268041237113402,0.7731958762886598
FAYETTE-PA,0.05745257452574526,79.41,0.4836495031616983,0.6248,0.17307692307692307,0.8269230769230769
FRANKLIN-PA,0.1165636588380717,85.68,0.5904820766378245,0.3373,0.44,0.56
FULTON-PA,0.013245033112582781,86.07,0.5794701986754967,0.2201,0.2,0.8
GREENE-PA,0.033367556468172486,85.33,0.5872689938398358,0.435,0.125,0.875
HUNTINGDON-PA,0.06172839506172839,89.39,0.6581524052788421,0.4908,0.24,0.76
INDIANA-PA,0.13071371291098638,94.39,0.6059342421812349,0.5484,0.6101694915254238,0.3898305084745763
JEFFERSON-PA,0.1575274177467597,91.79,0.5458624127617149,0.3312,0.4838709677419355,0.5161290322580645
JUNIATA-PA,0.13177041228779304,94.0,0.5933710590137429,0.4484,0.5925925925925926,0.4074074074074074
LACKAWANNA-PA,0.06112781269928031,83.02,0.5835838571558714,0.5252,0.323943661971831,0.676056338028169
LANCASTER-PA,0.2437702755694984,89.6,0.7029339417489573,0.4573,0.6383647798742138,0.36163522012578614
LAWRENCE-PA,0.048864418444597386,93.12,0.5806377609543474,0.4694,0.2777777777777778,0.7222222222222222
LEBANON-PA,0.10735930735930736,86.19,0.6528138528138528,0.5328,0.2708333333333333,0.7291666666666666
LEHIGH-PA,0.03765249259500979,83.64,0.5448064661880616,0.635,0.2975206611570248,0.7024793388429752
LUZERNE-PA,0.0662063625217784,87.32,0.5137123314189843,0.6089,0.2857142857142857,0.7142857142857143
LYCOMING-PA,0.08584610314714121,87.41,0.5613774921733399,0.421,0.3111111111111111,0.6888888888888889
MCKEAN-PA,0.0053309640159928924,90.06,0.6308307418924922,0.5462,0.2631578947368421,0.7368421052631579
MERCER-PA,0.07678965625985494,92.7,0.5163986124251025,0.542,0.42028985507246375,0.5797101449275363
MIFFLIN-PA,0.29680150517403575,89.0,0.5460959548447789,0.4723,0.7441860465116279,0.2558139534883721
MONROE-PA,0.020674858591769065,88.58,0.499024770821143,0.3064,0.2564102564102564,0.7435897435897436
MONTGOMERY-PA,0.027547378474840397,93.59,0.5166138842809028,0.1653,0.46258503401360546,0.5374149659863946
MONTOUR-PA,0.07448107448107448,87.5,0.4163614163614164,0.3111,0.4,0.6
NORTHAMPTON-PA,0.039733969986357434,73.27,0.60050022737608,0.2876,0.22784810126582278,0.7721518987341772
NORTHUMBERLAND-PA,0.1102921821531982,86.98,0.5193471966306923,0.5006,0.25,0.75
PERRY-PA,0.23761904761904762,90.57,0.5623809523809524,0.1089,0.5161290322580645,0.4838709677419355
PHILADELPHIA-PA,0.04906094288999617,69.82,0.39609045611345345,0.9204,0.28929384965831434,0.7107061503416856
PIKE-PA,0.02427000379218809,91.76,0.50322335987865,0.1287,0.06666666666666667,0.9333333333333333
SCHUYLKILL-PA,0.04760308414347972,88.59,0.48206503519946364,0.4506,0.20833333333333334,0.7916666666666666
SNYDER-PA,0.11681914144968332,86.75,0.6474313863476425,0.2299,0.7037037037037037,0.2962962962962963
SOMERSET-PA,0.1056822294607311,93.2,0.5982627578718784,0.4226,0.42,0.58
SUSQUEHANNA-PA,0.046875,94.58,0.4909855769230769,0.2064,0.0625,0.9375
TIOGA-PA,0.05383580080753701,87.97,0.42709735307312696,0.3153,0.2631578947368421,0.7368421052631579
UNION-PA,0.16761133603238867,94.99,0.6102564102564103,0.3605,0.5,0.5
VENANGO-PA,0.14404553415061297,90.35,0.5205779334500875,0.4229,0.36,0.64
WARREN-PA,0.038312048861743477,89.4,0.5274847307051638,0.2134,0.5217391304347826,0.4782608695652174
WASHINGTON-PA,0.04287540564460616,90.29,0.5889467990952896,0.1694,0.18571428571428572,0.8142857142857143
WESTMORELAND-PA,0.026422633240961526,90.64,0.5858091125861958,0.1379,0.21238938053097345,0.7876106194690266
WYOMING-PA,0.03717201166180758,94.01,0.5677842565597667,0.1121,0.2,0.8
YORK-PA,0.06619321988476484,88.07,0.573317254008665,0.329,0.23943661971830985,0.7605633802816901
BARNSTABLE-MA,0.03222748815165877,89.3,0.7040284360189574,0.0564,0.23880597014925373,0.7611940298507462
BERKSHIRE-MA,0.027859011851623827,87.84,0.583038325380945,0.4083,0.26153846153846155,0.7384615384615385
BRISTOL-MA,0.07345988040606313,86.76,0.550757891809206,0.5248,0.23118279569892472,0.7688172043010753
DUKES-MA,0.0096051227321238,91.51,0.35645677694770544,0.0096,0.1111111111111111,0.8888888888888888
FRANKLIN-MA,0.040105193951347796,84.48,0.571992110453649,0.2096,0.13333333333333333,0.8666666666666667
HAMPDEN-MA,0.054944638252692246,79.15,0.3962915213104808,0.8232,0.17258883248730963,0.8274111675126904
HAMPSHIRE-MA,0.021744268494445756,90.93,0.7117702670763413,0.2325,0.18333333333333332,0.8166666666666667
MIDDLESEX-MA,0.02368568934801583,90.87,0.559106615493143,0.2264,0.2553606237816764,0.7446393762183235
NANTUCKET-MA,0.0196078431372549,87.5,0.664488017429194,0.0268,0.42857142857142855,0.5714285714285714
NORFOLK-MA,0.02012523584260753,93.04,0.5707254381887288,0.2092,0.2490272373540856,0.7509727626459144
PLYMOUTH-MA,0.0312522765352954,90.24,0.5701537116631457,0.2303,0.1524390243902439,0.8475609756097561
SUFFOLK-MA,0.03870273009438145,70.36,0.5917315935052047,0.7379,0.20952380952380953,0.7904761904761904
WORCESTER-MA,0.036812614021370864,88.43,0.5591825210668057,0.4096,0.1861198738170347,0.8138801261829653
ADAMS-OH,0.09965156794425087,93.28,0.47038327526132406,0.7704,0.1,0.9
ALLEN-OH,0.0665746809244567,82.13,0.5924456709210072,0.5793,0.2,0.8
ASHLAND-OH,0.06352941176470588,87.91,0.633235294117647,0.4334,0.2,0.8
ASHTABULA-OH,0.12438807298620383,87.7,0.5440587449933244,0.7857,0.41818181818181815,0.5818181818181818
AUGLAIZE-OH,0.053066550674206174,93.8,0.6411483253588517,0.0535,0.05263157894736842,0.9473684210526315
BELMONT-OH,0.03824756606397774,89.43,0.41411682892906815,0.3596,0.23333333333333334,0.7666666666666667
BROWN-OH,0.10764212488350419,90.49,0.4249767008387698,0.4048,0.10526315789473684,0.8947368421052632
BUTLER-OH,0.03041247691360558,86.16,0.6114918941104043,0.3618,0.18095238095238095,0.819047619047619
