SVI,Drop_Out_Rate_By_County,Graduation-Rate,Percentage of Teens Who Work Part or Full time,Percentage-Private-School,Percentage-Public-School
0.0016,0.01077996195307546,92.99,0.6074825618262524,0.16666666666666666,0.8333333333333334
0.0032,0.10379746835443038,91.72,0.5924050632911393,0.11764705882352941,0.8823529411764706
0.0057,0.0036153289949385392,90.0,0.41865509761388287,0.043478260869565216,0.9565217391304348
0.0111,0.025974025974025976,90.79,0.7079381292864438,0.248,0.752
0.0124,0.02037797863599014,93.29,0.6134757600657355,0.22807017543859648,0.7719298245614035
0.0245,0.05605095541401274,63.98,0.6356687898089172,0.2727272727272727,0.7272727272727273
0.0354,0.006609642301710731,94.0,0.43506998444790046,0.23076923076923078,0.7692307692307693
0.0363,0.019164817429897115,90.27,0.6456021787371394,0.22123893805309736,0.7787610619469026
0.0373,0.0375037503750375,94.0,0.535028502850285,0.3148148148148148,0.6851851851851852
0.0424,0.014925373134328358,95.73,0.7664618086040387,0.09523809523809523,0.9047619047619048
0.0455,0.0033149171270718232,93.21,0.7779005524861878,0.09090909090909091,0.9090909090909091
0.0529,0.02059357964869776,92.03,0.7038158691701999,0.13043478260869565,0.8695652173913043
0.0576,0.07521367521367521,94.26,0.5794871794871795,0.09090909090909091,0.9090909090909091
0.0586,0.03571428571428571,95.64,0.7402597402597403,0.4117647058823529,0.5882352941176471
0.0678,0.03531157270029674,90.0,0.5234421364985163,0.1,0.9
0.085,0.07003089598352215,85.77,0.5550978372811535,0.17647058823529413,0.8235294117647058
0.0924,0.059736898857019625,86.91,0.6872978218675868,0.22413793103448276,0.7758620689655172
0.0959,0.06526228831061545,93.14,0.6608839322593969,0.1794871794871795,0.8205128205128205
0.0962,0.008503401360544218,93.48,0.8197278911564626,0.1,0.9
0.0971,0.04266562285937959,93.64,0.660142871122419,0.06944444444444445,0.9305555555555556
0.1048,0.10089020771513353,92.5,0.5504451038575667,0.18181818181818182,0.8181818181818182
0.1067,0.12372372372372373,90.43,0.7399399399399399,0.1,0.9
0.1153,0.03099510603588907,92.0,0.7308319738988581,0.1,0.9
0.1166,0.04100946372239748,91.5,0.6561514195583596,0.3333333333333333,0.6666666666666666
0.1178,0.015362106803218726,93.98,0.6510607168983175,0.16666666666666666,0.8333333333333334
0.1182,0.03035143769968051,95.68,0.5823298107643156,0.1232876712328767,0.8767123287671232
0.1217,0.05101214574898785,81.53,0.8291497975708502,0.05263157894736842,0.9473684210526315
0.1261,0.017836593785960874,89.87,0.6852704257767549,0.24,0.76
0.1264,0.0888382687927107,90.22,0.7266514806378133,0.1,0.9
0.1309,0.07289293849658314,91.0,0.7570235383447228,0.11764705882352941,0.8823529411764706
0.1315,0.06569343065693431,80.31,0.6525547445255474,0.25,0.75
0.1347,0.024857375713121434,94.7,0.5733496332518337,0.07407407407407407,0.9259259259259259
0.1449,0.04585798816568047,94.0,0.7159763313609467,0.05714285714285714,0.9428571428571428
0.1455,0.03379224030037547,85.12,0.6809762202753442,0.2077922077922078,0.7922077922077922
0.1564,0.037013401403956606,87.05,0.8385449904275686,0.2857142857142857,0.7142857142857143
0.1592,0.04375,88.0,0.6556547619047619,0.07407407407407407,0.9259259259259259
0.1618,0.04013961605584642,86.76,0.5148342059336823,0.16666666666666666,0.8333333333333334
0.1637,0.10882089361157342,75.58,0.5973626936371783,0.3,0.7
0.1653,0.03932009010853983,92.66,0.810976858488634,0.2,0.8
