,NAME,State,B23027_002E,B23027_003E,County
66,Putnam County,Indiana,2657,1540,Putnam 
67,Randolph County,Indiana,1298,712,Randolph 
68,Ripley County,Indiana,1554,931,Ripley 
69,Rush County,Indiana,871,191,Rush 
70,St. Joseph County,Indiana,16262,9986,St. Joseph 
71,Scott County,Indiana,1076,392,Scott 
72,Shelby County,Indiana,2090,1101,Shelby 
73,Spencer County,Indiana,903,589,Spencer 
74,Starke County,Indiana,1121,531,Starke 
75,Steuben County,Indiana,1840,1269,Steuben 
76,Sullivan County,Indiana,886,435,Sullivan 
77,Switzerland County,Indiana,573,230,Switzerland 
78,Tippecanoe County,Indiana,17393,11356,Tippecanoe 
79,Tipton County,Indiana,704,281,Tipton 
80,Union County,Indiana,326,122,Union 
81,Vanderburgh County,Indiana,9168,4758,Vanderburgh 
82,Vermillion County,Indiana,755,431,Vermillion 
83,Vigo County,Indiana,6941,4118,Vigo 
84,Wabash County,Indiana,1774,1161,Wabash 
85,Warren County,Indiana,269,203,Warren 
86,Warrick County,Indiana,3370,1764,Warrick 
87,Washington County,Indiana,1327,651,Washington 
88,Wayne County,Indiana,3393,1796,Wayne 
89,Wells County,Indiana,1419,934,Wells 
90,White County,Indiana,1173,695,White 
91,Whitley County,Indiana,1628,899,Whitley 
0,Adair County,Iowa,269,193,Adair 
1,Adams County,Iowa,120,79,Adams 
2,Allamakee County,Iowa,568,283,Allamakee 
3,Appanoose County,Iowa,559,345,Appanoose 
4,Audubon County,Iowa,208,156,Audubon 
5,Benton County,Iowa,1286,813,Benton 
6,Black Hawk County,Iowa,7592,5759,Black Hawk 
7,Boone County,Iowa,1367,890,Boone 
8,Bremer County,Iowa,1737,1312,Bremer 
9,Buchanan County,Iowa,1082,757,Buchanan 
10,Buena Vista County,Iowa,1423,898,Buena Vista 
11,Butler County,Iowa,570,342,Butler 
12,Calhoun County,Iowa,286,168,Calhoun 
13,Carroll County,Iowa,905,704,Carroll 
14,Cass County,Iowa,672,425,Cass 
15,Cedar County,Iowa,964,547,Cedar 
16,Cerro Gordo County,Iowa,1985,1571,Cerro Gordo 
17,Cherokee County,Iowa,404,202,Cherokee 
18,Chickasaw County,Iowa,546,405,Chickasaw 
19,Clarke County,Iowa,408,156,Clarke 
20,Clay County,Iowa,736,596,Clay 
21,Clayton County,Iowa,740,601,Clayton 
22,Clinton County,Iowa,2309,1079,Clinton 
23,Crawford County,Iowa,1080,494,Crawford 
24,Dallas County,Iowa,4074,2894,Dallas 
25,Davis County,Iowa,525,373,Davis 
26,Decatur County,Iowa,540,392,Decatur 
27,Delaware County,Iowa,725,569,Delaware 
28,Des Moines County,Iowa,2028,1195,Des Moines 
29,Dickinson County,Iowa,771,634,Dickinson 
30,Dubuque County,Iowa,5862,3972,Dubuque 
31,Emmet County,Iowa,849,684,Emmet 
32,Fayette County,Iowa,1055,620,Fayette 
33,Floyd County,Iowa,758,471,Floyd 
34,Franklin County,Iowa,374,253,Franklin 
35,Fremont County,Iowa,303,131,Fremont 
36,Greene County,Iowa,448,230,Greene 
37,Grundy County,Iowa,624,349,Grundy 
38,Guthrie County,Iowa,514,358,Guthrie 
39,Hamilton County,Iowa,613,448,Hamilton 
40,Hancock County,Iowa,440,198,Hancock 
41,Hardin County,Iowa,1016,647,Hardin 
42,Harrison County,Iowa,645,424,Harrison 
43,Henry County,Iowa,994,568,Henry 
44,Howard County,Iowa,359,232,Howard 
45,Humboldt County,Iowa,340,224,Humboldt 
46,Ida County,Iowa,322,241,Ida 
47,Iowa County,Iowa,720,451,Iowa 
48,Jackson County,Iowa,950,348,Jackson 
49,Jasper County,Iowa,1611,1167,Jasper 
50,Jefferson County,Iowa,522,228,Jefferson 
51,Johnson County,Iowa,11223,8328,Johnson 
52,Jones County,Iowa,938,592,Jones 
53,Keokuk County,Iowa,492,314,Keokuk 
54,Kossuth County,Iowa,674,371,Kossuth 
55,Lee County,Iowa,1456,820,Lee 
56,Linn County,Iowa,12038,7444,Linn 
57,Louisa County,Iowa,495,310,Louisa 
58,Lucas County,Iowa,460,255,Lucas 
59,Lyon County,Iowa,591,362,Lyon 
60,Madison County,Iowa,729,402,Madison 
61,Mahaska County,Iowa,1306,905,Mahaska 
62,Marion County,Iowa,2040,1474,Marion 
63,Marshall County,Iowa,2091,1206,Marshall 
64,Mills County,Iowa,707,463,Mills 
65,Mitchell County,Iowa,500,357,Mitchell 
66,Monona County,Iowa,323,208,Monona 
67,Monroe County,Iowa,397,211,Monroe 
68,Montgomery County,Iowa,463,269,Montgomery 
69,Muscatine County,Iowa,2260,1062,Muscatine 
70,O'Brien County,Iowa,709,534,O'Brien 
71,Osceola County,Iowa,244,152,Osceola 
72,Page County,Iowa,666,380,Page 
73,Palo Alto County,Iowa,436,380,Palo Alto 
74,Plymouth County,Iowa,1348,984,Plymouth 
75,Pocahontas County,Iowa,205,121,Pocahontas 
76,Polk County,Iowa,24760,15608,Polk 
77,Pottawattamie County,Iowa,5152,2844,Pottawattamie 
78,Poweshiek County,Iowa,1644,1296,Poweshiek 
79,Ringgold County,Iowa,319,157,Ringgold 
80,Sac County,Iowa,403,308,Sac 
81,Scott County,Iowa,9125,4792,Scott 
82,Shelby County,Iowa,560,379,Shelby 
83,Sioux County,Iowa,2530,2021,Sioux 
84,Story County,Iowa,9775,8053,Story 
85,Tama County,Iowa,911,441,Tama 
86,Taylor County,Iowa,288,236,Taylor 
87,Union County,Iowa,733,452,Union 
88,Van Buren County,Iowa,301,182,Van Buren 
89,Wapello County,Iowa,1770,1028,Wapello 
90,Warren County,Iowa,3047,2214,Warren 
91,Washington County,Iowa,1180,739,Washington 
92,Wayne County,Iowa,312,176,Wayne 
93,Webster County,Iowa,2392,1405,Webster 
94,Winnebago County,Iowa,733,520,Winnebago 
95,Winneshiek County,Iowa,1648,1337,Winneshiek 
96,Woodbury County,Iowa,5735,3954,Woodbury 
97,Worth County,Iowa,344,230,Worth 
98,Wright County,Iowa,476,197,Wright 
0,Allen County,Kansas,783,387,Allen 
1,Anderson County,Kansas,324,139,Anderson 
2,Atchison County,Kansas,1085,890,Atchison 
3,Barber County,Kansas,161,89,Barber 
4,Barton County,Kansas,1307,997,Barton 
5,Bourbon County,Kansas,784,449,Bourbon 
6,Brown County,Kansas,461,304,Brown 
7,Butler County,Kansas,3968,2398,Butler 
8,Chase County,Kansas,133,70,Chase 
9,Chautauqua County,Kansas,109,58,Chautauqua 
10,Cherokee County,Kansas,973,525,Cherokee 
11,Cheyenne County,Kansas,148,106,Cheyenne 
12,Clark County,Kansas,49,45,Clark 
13,Clay County,Kansas,253,132,Clay 
14,Cloud County,Kansas,389,257,Cloud 
15,Coffey County,Kansas,399,288,Coffey 
16,Comanche County,Kansas,84,67,Comanche 
17,Cowley County,Kansas,2139,1190,Cowley 
18,Crawford County,Kansas,2671,1579,Crawford 
19,Decatur County,Kansas,60,45,Decatur 
20,Dickinson County,Kansas,863,515,Dickinson 
21,Doniphan County,Kansas,764,536,Doniphan 
22,Douglas County,Kansas,9744,7191,Douglas 
23,Edwards County,Kansas,104,77,Edwards 
24,Elk County,Kansas,83,42,Elk 
25,Ellis County,Kansas,1567,1314,Ellis 
26,Ellsworth County,Kansas,286,139,Ellsworth 
27,Finney County,Kansas,2381,1525,Finney 
28,Ford County,Kansas,2194,1171,Ford 
29,Franklin County,Kansas,1511,884,Franklin 
30,Geary County,Kansas,1342,709,Geary 
31,Gove County,Kansas,64,51,Gove 
32,Graham County,Kansas,77,53,Graham 
33,Grant County,Kansas,419,260,Grant 
34,Gray County,Kansas,404,302,Gray 
35,Greeley County,Kansas,91,85,Greeley 
36,Greenwood County,Kansas,279,141,Greenwood 
37,Hamilton County,Kansas,147,53,Hamilton 
38,Harper County,Kansas,309,130,Harper 
39,Harvey County,Kansas,2222,1658,Harvey 
40,Haskell County,Kansas,189,117,Haskell 
41,Hodgeman County,Kansas,106,59,Hodgeman 
42,Jackson County,Kansas,596,379,Jackson 
43,Jefferson County,Kansas,1051,559,Jefferson 
44,Jewell County,Kansas,94,47,Jewell 
45,Johnson County,Kansas,30368,19346,Johnson 
46,Kearny County,Kansas,317,238,Kearny 
47,Kingman County,Kansas,306,215,Kingman 
48,Kiowa County,Kansas,215,149,Kiowa 
49,Labette County,Kansas,902,472,Labette 
50,Lane County,Kansas,118,55,Lane 
51,Leavenworth County,Kansas,4049,2201,Leavenworth 
52,Lincoln County,Kansas,167,75,Lincoln 
53,Linn County,Kansas,422,185,Linn 
54,Logan County,Kansas,118,90,Logan 
55,Lyon County,Kansas,2148,1712,Lyon 
56,McPherson County,Kansas,1665,1232,McPherson 
57,Marion County,Kansas,674,470,Marion 
58,Marshall County,Kansas,439,319,Marshall 
59,Meade County,Kansas,232,121,Meade 
60,Miami County,Kansas,1774,842,Miami 
61,Mitchell County,Kansas,389,236,Mitchell 
62,Montgomery County,Kansas,1756,983,Montgomery 
63,Morris County,Kansas,207,156,Morris 
64,Morton County,Kansas,171,51,Morton 
65,Nemaha County,Kansas,588,482,Nemaha 
66,Neosho County,Kansas,966,386,Neosho 
67,Ness County,Kansas,102,52,Ness 
68,Norton County,Kansas,176,147,Norton 
69,Osage County,Kansas,761,412,Osage 
70,Osborne County,Kansas,88,58,Osborne 
71,Ottawa County,Kansas,315,133,Ottawa 
72,Pawnee County,Kansas,363,182,Pawnee 
73,Phillips County,Kansas,235,194,Phillips 
74,Pottawatomie County,Kansas,1398,787,Pottawatomie 
75,Pratt County,Kansas,634,502,Pratt 
76,Rawlins County,Kansas,61,38,Rawlins 
77,Reno County,Kansas,3155,2047,Reno 
78,Republic County,Kansas,168,89,Republic 
79,Rice County,Kansas,605,430,Rice 
80,Riley County,Kansas,7028,5490,Riley 
81,Rooks County,Kansas,237,156,Rooks 
82,Rush County,Kansas,98,67,Rush 
83,Russell County,Kansas,426,320,Russell 
84,Saline County,Kansas,2764,1870,Saline 
85,Scott County,Kansas,248,208,Scott 
86,Sedgwick County,Kansas,26667,14527,Sedgwick 
87,Seward County,Kansas,1257,656,Seward 
88,Shawnee County,Kansas,9112,5160,Shawnee 
89,Sheridan County,Kansas,104,75,Sheridan 
90,Sherman County,Kansas,384,296,Sherman 
91,Smith County,Kansas,177,108,Smith 
92,Stafford County,Kansas,201,125,Stafford 
93,Stanton County,Kansas,108,7,Stanton 
94,Stevens County,Kansas,274,156,Stevens 
95,Sumner County,Kansas,1106,635,Sumner 
96,Thomas County,Kansas,505,355,Thomas 
97,Trego County,Kansas,103,69,Trego 
98,Wabaunsee County,Kansas,391,263,Wabaunsee 
99,Wallace County,Kansas,47,23,Wallace 
100,Washington County,Kansas,245,101,Washington 
101,Wichita County,Kansas,101,82,Wichita 
102,Wilson County,Kansas,474,306,Wilson 
103,Woodson County,Kansas,141,51,Woodson 
104,Wyandotte County,Kansas,8747,4505,Wyandotte 
0,Adair County,Kentucky,1349,752,Adair 
1,Allen County,Kentucky,872,488,Allen 
2,Anderson County,Kentucky,876,334,Anderson 
3,Ballard County,Kentucky,386,224,Ballard 
4,Barren County,Kentucky,2089,1131,Barren 
5,Bath County,Kentucky,584,164,Bath 
6,Bell County,Kentucky,1242,478,Bell 
7,Boone County,Kentucky,7189,4151,Boone 
8,Bourbon County,Kentucky,918,415,Bourbon 
9,Boyd County,Kentucky,2114,811,Boyd 
10,Boyle County,Kentucky,2187,1200,Boyle 
11,Bracken County,Kentucky,359,208,Bracken 
12,Breathitt County,Kentucky,492,77,Breathitt 
13,Breckinridge County,Kentucky,1078,403,Breckinridge 
14,Bullitt County,Kentucky,4209,2150,Bullitt 
15,Butler County,Kentucky,568,294,Butler 
16,Caldwell County,Kentucky,557,355,Caldwell 
17,Calloway County,Kentucky,3322,2059,Calloway 
18,Campbell County,Kentucky,5330,2839,Campbell 
19,Carlisle County,Kentucky,244,90,Carlisle 
20,Carroll County,Kentucky,440,230,Carroll 
21,Carter County,Kentucky,1215,348,Carter 
22,Casey County,Kentucky,763,211,Casey 
23,Christian County,Kentucky,3802,2068,Christian 
24,Clark County,Kentucky,1426,613,Clark 
25,Clay County,Kentucky,756,333,Clay 
26,Clinton County,Kentucky,616,272,Clinton 
27,Crittenden County,Kentucky,347,132,Crittenden 
28,Cumberland County,Kentucky,222,61,Cumberland 
29,Daviess County,Kentucky,4602,2495,Daviess 
30,Edmonson County,Kentucky,572,360,Edmonson 
31,Elliott County,Kentucky,232,170,Elliott 
32,Estill County,Kentucky,733,263,Estill 
33,Fayette County,Kentucky,18038,11060,Fayette 
34,Fleming County,Kentucky,629,232,Fleming 
35,Floyd County,Kentucky,1722,521,Floyd 
36,Franklin County,Kentucky,2698,1453,Franklin 
37,Fulton County,Kentucky,158,87,Fulton 
38,Gallatin County,Kentucky,545,305,Gallatin 
39,Garrard County,Kentucky,718,224,Garrard 
40,Grant County,Kentucky,1460,780,Grant 
41,Graves County,Kentucky,2089,1269,Graves 
42,Grayson County,Kentucky,1358,572,Grayson 
43,Green County,Kentucky,438,209,Green 
44,Greenup County,Kentucky,1680,585,Greenup 
45,Hancock County,Kentucky,500,164,Hancock 
46,Hardin County,Kentucky,5668,2948,Hardin 
47,Harlan County,Kentucky,1134,219,Harlan 
48,Harrison County,Kentucky,810,542,Harrison 
49,Hart County,Kentucky,908,474,Hart 
50,Henderson County,Kentucky,2378,1152,Henderson 
51,Henry County,Kentucky,928,461,Henry 
52,Hickman County,Kentucky,295,90,Hickman 
53,Hopkins County,Kentucky,2173,1000,Hopkins 
54,Jackson County,Kentucky,727,122,Jackson 
55,Jefferson County,Kentucky,36926,20526,Jefferson 
56,Jessamine County,Kentucky,2967,1538,Jessamine 
57,Johnson County,Kentucky,989,289,Johnson 
58,Kenton County,Kentucky,7802,4703,Kenton 
59,Knott County,Kentucky,839,394,Knott 
60,Knox County,Kentucky,1801,607,Knox 
61,Larue County,Kentucky,646,357,Larue 
62,Laurel County,Kentucky,2941,1117,Laurel 
63,Lawrence County,Kentucky,708,173,Lawrence 
64,Lee County,Kentucky,400,205,Lee 
65,Leslie County,Kentucky,229,32,Leslie 
66,Letcher County,Kentucky,917,245,Letcher 
67,Lewis County,Kentucky,656,235,Lewis 
68,Lincoln County,Kentucky,1171,407,Lincoln 
69,Livingston County,Kentucky,386,150,Livingston 
70,Logan County,Kentucky,1143,555,Logan 
71,Lyon County,Kentucky,321,297,Lyon 
72,McCracken County,Kentucky,2825,1785,McCracken 
73,McCreary County,Kentucky,799,285,McCreary 
74,McLean County,Kentucky,481,234,McLean 
75,Madison County,Kentucky,7081,4314,Madison 
76,Magoffin County,Kentucky,451,186,Magoffin 
77,Marion County,Kentucky,911,553,Marion 
78,Marshall County,Kentucky,1412,697,Marshall 
79,Martin County,Kentucky,493,104,Martin 
80,Mason County,Kentucky,791,486,Mason 
81,Meade County,Kentucky,1422,630,Meade 
82,Menifee County,Kentucky,196,77,Menifee 
83,Mercer County,Kentucky,1045,342,Mercer 
84,Metcalfe County,Kentucky,439,190,Metcalfe 
85,Monroe County,Kentucky,505,294,Monroe 
86,Montgomery County,Kentucky,1421,738,Montgomery 
87,Morgan County,Kentucky,578,224,Morgan 
88,Muhlenberg County,Kentucky,1745,749,Muhlenberg 
89,Nelson County,Kentucky,2051,1361,Nelson 
90,Nicholas County,Kentucky,416,150,Nicholas 
91,Ohio County,Kentucky,1314,753,Ohio 
92,Oldham County,Kentucky,3618,1943,Oldham 
93,Owen County,Kentucky,448,112,Owen 
94,Owsley County,Kentucky,255,71,Owsley 
95,Pendleton County,Kentucky,685,308,Pendleton 
96,Perry County,Kentucky,1321,511,Perry 
97,Pike County,Kentucky,2815,1200,Pike 
98,Powell County,Kentucky,416,228,Powell 
99,Pulaski County,Kentucky,2910,1509,Pulaski 
100,Robertson County,Kentucky,88,20,Robertson 
101,Rockcastle County,Kentucky,887,337,Rockcastle 
102,Rowan County,Kentucky,2743,1348,Rowan 
103,Russell County,Kentucky,842,471,Russell 
104,Scott County,Kentucky,2936,1805,Scott 
105,Shelby County,Kentucky,2440,1340,Shelby 
106,Simpson County,Kentucky,890,181,Simpson 
107,Spencer County,Kentucky,1099,611,Spencer 
108,Taylor County,Kentucky,1678,1013,Taylor 
109,Todd County,Kentucky,623,365,Todd 
110,Trigg County,Kentucky,886,536,Trigg 
111,Trimble County,Kentucky,484,203,Trimble 
112,Union County,Kentucky,855,258,Union 
113,Warren County,Kentucky,10305,7426,Warren 
114,Washington County,Kentucky,598,340,Washington 
115,Wayne County,Kentucky,930,409,Wayne 
116,Webster County,Kentucky,588,187,Webster 
117,Whitley County,Kentucky,2262,1110,Whitley 
118,Wolfe County,Kentucky,345,51,Wolfe 
119,Woodford County,Kentucky,1533,724,Woodford 
0,Acadia Parish,Louisiana,3377,1399,Acadia Parish
1,Allen Parish,Louisiana,976,407,Allen Parish
2,Ascension Parish,Louisiana,6244,2882,Ascension Parish
3,Assumption Parish,Louisiana,1198,415,Assumption Parish
4,Avoyelles Parish,Louisiana,2072,655,Avoyelles Parish
5,Beauregard Parish,Louisiana,1987,641,Beauregard Parish
6,Bienville Parish,Louisiana,422,101,Bienville Parish
7,Bossier Parish,Louisiana,6597,2542,Bossier Parish
8,Caddo Parish,Louisiana,12259,3703,Caddo Parish
9,Calcasieu Parish,Louisiana,9484,4436,Calcasieu Parish
10,Caldwell Parish,Louisiana,319,37,Caldwell Parish
11,Cameron Parish,Louisiana,435,177,Cameron Parish
12,Catahoula Parish,Louisiana,243,47,Catahoula Parish
13,Claiborne Parish,Louisiana,658,205,Claiborne Parish
14,Concordia Parish,Louisiana,1016,111,Concordia Parish
15,De Soto Parish,Louisiana,1330,336,De Soto Parish
16,East Baton Rouge Parish,Louisiana,27175,12023,East Baton Rouge Parish
17,East Carroll Parish,Louisiana,298,43,East Carroll Parish
18,East Feliciana Parish,Louisiana,804,226,East Feliciana Parish
19,Evangeline Parish,Louisiana,1638,612,Evangeline Parish
20,Franklin Parish,Louisiana,745,57,Franklin Parish
21,Grant Parish,Louisiana,1048,502,Grant Parish
22,Iberia Parish,Louisiana,3584,1239,Iberia Parish
23,Iberville Parish,Louisiana,1499,611,Iberville Parish
24,Jackson Parish,Louisiana,673,222,Jackson Parish
25,Jefferson Parish,Louisiana,18536,6270,Jefferson Parish
26,Jefferson Davis Parish,Louisiana,1408,493,Jefferson Davis Parish
27,Lafayette Parish,Louisiana,11724,4312,Lafayette Parish
28,Lafourche Parish,Louisiana,5007,2141,Lafourche Parish
29,LaSalle Parish,Louisiana,894,202,LaSalle Parish
30,Lincoln Parish,Louisiana,4393,1979,Lincoln Parish
31,Livingston Parish,Louisiana,7574,3030,Livingston Parish
32,Madison Parish,Louisiana,568,205,Madison Parish
33,Morehouse Parish,Louisiana,1303,109,Morehouse Parish
34,Natchitoches Parish,Louisiana,2684,646,Natchitoches Parish
35,Orleans Parish,Louisiana,17498,5874,Orleans Parish
36,Ouachita Parish,Louisiana,8682,2499,Ouachita Parish
37,Plaquemines Parish,Louisiana,1354,535,Plaquemines Parish
38,Pointe Coupee Parish,Louisiana,1095,413,Pointe Coupee Parish
39,Rapides Parish,Louisiana,7062,1924,Rapides Parish
40,Red River Parish,Louisiana,362,174,Red River Parish
41,Richland Parish,Louisiana,926,306,Richland Parish
42,Sabine Parish,Louisiana,1230,364,Sabine Parish
43,St. Bernard Parish,Louisiana,2247,748,St. Bernard Parish
44,St. Charles Parish,Louisiana,2567,748,St. Charles Parish
45,St. Helena Parish,Louisiana,562,170,St. Helena Parish
46,St. James Parish,Louisiana,942,335,St. James Parish
47,St. John the Baptist Parish,Louisiana,2018,349,St. John the Baptist Parish
48,St. Landry Parish,Louisiana,4576,1075,St. Landry Parish
49,St. Martin Parish,Louisiana,2652,793,St. Martin Parish
50,St. Mary Parish,Louisiana,2693,638,St. Mary Parish
51,St. Tammany Parish,Louisiana,12793,6160,St. Tammany Parish
52,Tangipahoa Parish,Louisiana,7596,3677,Tangipahoa Parish
53,Tensas Parish,Louisiana,234,55,Tensas Parish
54,Terrebonne Parish,Louisiana,5269,1519,Terrebonne Parish
55,Union Parish,Louisiana,1223,407,Union Parish
56,Vermilion Parish,Louisiana,3086,954,Vermilion Parish
57,Vernon Parish,Louisiana,2656,1322,Vernon Parish
58,Washington Parish,Louisiana,2261,798,Washington Parish
59,Webster Parish,Louisiana,2060,469,Webster Parish
60,West Baton Rouge Parish,Louisiana,1332,484,West Baton Rouge Parish
61,West Carroll Parish,Louisiana,637,141,West Carroll Parish
62,West Feliciana Parish,Louisiana,791,449,West Feliciana Parish
63,Winn Parish,Louisiana,607,258,Winn Parish
0,Androscoggin County,Maine,5450,3564,Androscoggin 
1,Aroostook County,Maine,3172,1776,Aroostook 
2,Cumberland County,Maine,14030,10274,Cumberland 
3,Franklin County,Maine,1680,1128,Franklin 
4,Hancock County,Maine,2050,1397,Hancock 
5,Kennebec County,Maine,6078,3990,Kennebec 
6,Knox County,Maine,1562,1079,Knox 
7,Lincoln County,Maine,1226,770,Lincoln 
8,Oxford County,Maine,2579,1435,Oxford 
9,Penobscot County,Maine,8892,5716,Penobscot 
10,Piscataquis County,Maine,795,294,Piscataquis 
11,Sagadahoc County,Maine,1387,994,Sagadahoc 
12,Somerset County,Maine,2149,1074,Somerset 
13,Waldo County,Maine,1784,1022,Waldo 
14,Washington County,Maine,1445,842,Washington 
15,York County,Maine,8997,6582,York 
0,Allegany County,Maryland,4330,2599,Allegany 
1,Anne Arundel County,Maryland,26103,14896,Anne Arundel 
2,Baltimore County,Maryland,42229,21207,Baltimore 
3,Calvert County,Maryland,4733,2499,Calvert 
4,Caroline County,Maryland,1781,1004,Caroline 
5,Carroll County,Maryland,9191,5082,Carroll 
6,Cecil County,Maryland,5028,2645,Cecil 
7,Charles County,Maryland,8733,2910,Charles 
8,Dorchester County,Maryland,1409,779,Dorchester 
9,Frederick County,Maryland,13182,7530,Frederick 
10,Garrett County,Maryland,1439,767,Garrett 
11,Harford County,Maryland,12931,6456,Harford 
12,Howard County,Maryland,16151,7658,Howard 
13,Kent County,Maryland,1356,871,Kent 
14,Montgomery County,Maryland,49595,20819,Montgomery 
15,Prince George's County,Maryland,47507,22175,Prince George's 
16,Queen Anne's County,Maryland,2190,1261,Queen Anne's 
17,St. Mary's County,Maryland,6586,3268,St. Mary's 
18,Somerset County,Maryland,1579,846,Somerset 
19,Talbot County,Maryland,1625,1039,Talbot 
20,Washington County,Maryland,6731,3276,Washington 
21,Wicomico County,Maryland,7848,4722,Wicomico 
22,Worcester County,Maryland,1930,1469,Worcester 
23,Baltimore city,Maryland,29083,10418,Baltimore city
0,Barnstable County,Massachusetts,8440,5942,Barnstable 
1,Berkshire County,Massachusetts,6497,3788,Berkshire 
2,Bristol County,Massachusetts,28764,15842,Bristol 
3,Dukes County,Massachusetts,937,334,Dukes 
4,Essex County,Massachusetts,41801,24603,Essex 
5,Franklin County,Massachusetts,3042,1740,Franklin 
6,Hampden County,Massachusetts,26372,10451,Hampden 
7,Hampshire County,Massachusetts,16924,12046,Hampshire 
8,Middlesex County,Massachusetts,83637,46762,Middlesex 
9,Nantucket County,Massachusetts,459,305,Nantucket 
10,Norfolk County,Massachusetts,36571,20872,Norfolk 
11,Plymouth County,Massachusetts,27454,15653,Plymouth 
12,Suffolk County,Massachusetts,47361,28025,Suffolk 
13,Worcester County,Massachusetts,46044,25747,Worcester 
0,Alcona County,Michigan,311,153,Alcona 
1,Alger County,Michigan,400,258,Alger 
2,Allegan County,Michigan,5978,2878,Allegan 
3,Alpena County,Michigan,1267,707,Alpena 
4,Antrim County,Michigan,1016,651,Antrim 
5,Arenac County,Michigan,606,312,Arenac 
6,Baraga County,Michigan,334,204,Baraga 
7,Barry County,Michigan,2970,1510,Barry 
8,Bay County,Michigan,4881,2261,Bay 
9,Benzie County,Michigan,678,496,Benzie 
10,Berrien County,Michigan,7007,3812,Berrien 
11,Branch County,Michigan,2139,946,Branch 
12,Calhoun County,Michigan,7187,3771,Calhoun 
13,Cass County,Michigan,2705,1339,Cass 
14,Charlevoix County,Michigan,1099,837,Charlevoix 
15,Cheboygan County,Michigan,1086,726,Cheboygan 
16,Chippewa County,Michigan,1888,1242,Chippewa 
17,Clare County,Michigan,1321,707,Clare 
18,Clinton County,Michigan,3966,2023,Clinton 
19,Crawford County,Michigan,567,397,Crawford 
20,Delta County,Michigan,1689,963,Delta 
21,Dickinson County,Michigan,1125,592,Dickinson 
22,Eaton County,Michigan,5419,3086,Eaton 
23,Emmet County,Michigan,1528,1204,Emmet 
24,Genesee County,Michigan,20411,9243,Genesee 
25,Gladwin County,Michigan,1151,419,Gladwin 
26,Gogebic County,Michigan,579,289,Gogebic 
27,Grand Traverse County,Michigan,4298,2949,Grand Traverse 
28,Gratiot County,Michigan,2411,1240,Gratiot 
29,Hillsdale County,Michigan,2525,1162,Hillsdale 
30,Houghton County,Michigan,3004,1853,Houghton 
31,Huron County,Michigan,1273,712,Huron 
32,Ingham County,Michigan,23624,15934,Ingham 
33,Ionia County,Michigan,3678,2039,Ionia 
34,Iosco County,Michigan,899,462,Iosco 
35,Iron County,Michigan,404,197,Iron 
36,Isabella County,Michigan,7393,5462,Isabella 
37,Jackson County,Michigan,8000,3942,Jackson 
38,Kalamazoo County,Michigan,15111,9212,Kalamazoo 
39,Kalkaska County,Michigan,776,441,Kalkaska 
40,Kent County,Michigan,33800,19629,Kent 
41,Keweenaw County,Michigan,67,42,Keweenaw 
42,Lake County,Michigan,413,156,Lake 
43,Lapeer County,Michigan,4319,2210,Lapeer 
44,Leelanau County,Michigan,785,499,Leelanau 
45,Lenawee County,Michigan,5113,3065,Lenawee 
46,Livingston County,Michigan,10000,5868,Livingston 
47,Luce County,Michigan,278,194,Luce 
48,Mackinac County,Michigan,357,230,Mackinac 
49,Macomb County,Michigan,40709,21400,Macomb 
50,Manistee County,Michigan,980,610,Manistee 
51,Marquette County,Michigan,3799,2472,Marquette 
52,Mason County,Michigan,1254,671,Mason 
53,Mecosta County,Michigan,3702,2387,Mecosta 
54,Menominee County,Michigan,1002,637,Menominee 
55,Midland County,Michigan,4011,2065,Midland 
56,Missaukee County,Michigan,713,437,Missaukee 
57,Monroe County,Michigan,7334,3784,Monroe 
58,Montcalm County,Michigan,2775,1392,Montcalm 
59,Montmorency County,Michigan,323,130,Montmorency 
60,Muskegon County,Michigan,8925,4759,Muskegon 
61,Newaygo County,Michigan,2361,1210,Newaygo 
62,Oakland County,Michigan,60024,32568,Oakland 
63,Oceana County,Michigan,1367,813,Oceana 
64,Ogemaw County,Michigan,926,464,Ogemaw 
65,Ontonagon County,Michigan,213,109,Ontonagon 
66,Osceola County,Michigan,1213,571,Osceola 
67,Oscoda County,Michigan,315,141,Oscoda 
68,Otsego County,Michigan,1122,760,Otsego 
69,Ottawa County,Michigan,20693,14893,Ottawa 
70,Presque Isle County,Michigan,454,234,Presque Isle 
71,Roscommon County,Michigan,759,468,Roscommon 
72,Saginaw County,Michigan,10649,5499,Saginaw 
73,St. Clair County,Michigan,8247,4137,St. Clair 
74,St. Joseph County,Michigan,3205,1887,St. Joseph 
75,Sanilac County,Michigan,2012,1036,Sanilac 
76,Schoolcraft County,Michigan,259,133,Schoolcraft 
77,Shiawassee County,Michigan,3641,1718,Shiawassee 
78,Tuscola County,Michigan,2465,1301,Tuscola 
79,Van Buren County,Michigan,3785,1962,Van Buren 
80,Washtenaw County,Michigan,28724,19064,Washtenaw 
81,Wayne County,Michigan,87524,35797,Wayne 
82,Wexford County,Michigan,1379,723,Wexford 
0,Aitkin County,Minnesota,561,395,Aitkin 
1,Anoka County,Minnesota,17438,10781,Anoka 
2,Becker County,Minnesota,1675,1173,Becker 
3,Beltrami County,Minnesota,2820,1534,Beltrami 
4,Benton County,Minnesota,1796,1226,Benton 
5,Big Stone County,Minnesota,136,87,Big Stone 
