County-State,SVI
JOHNSTON-OK,0.8468
OTTAWA-OK,0.9576
CHOCTAW-OK,0.9602
YAVAPAI-AZ,0.521
MARICOPA-AZ,0.6354
GREENLEE-AZ,0.6188
COCONINO-AZ,0.7131
COCHISE-AZ,0.9064
PINAL-AZ,0.8592
SANTA CRUZ-AZ,0.9318
PIMA-AZ,0.8828
GILA-AZ,0.899
MOHAVE-AZ,0.8624
LA PAZ-AZ,0.9236
GRAHAM-AZ,0.964
NAVAJO-AZ,0.9955
APACHE-AZ,0.9885
YUMA-AZ,0.9895
JONES-SD,0.0051
JERAULD-SD,0.0506
DEUEL-SD,0.0822
POTTER-SD,0.0516
HUTCHINSON-SD,0.2487
LAWRENCE-SD,0.2618
KINGSBURY-SD,0.0223
BROOKINGS-SD,0.1561
LINCOLN-SD,0.0201
HAND-SD,0.0309
EDMUNDS-SD,0.0341
BON HOMME-SD,0.2382
CLAY-SD,0.2468
CAMPBELL-SD,0.0064
GRANT-SD,0.0551
UNION-SD,0.0274
TURNER-SD,0.108
PERKINS-SD,0.1096
LAKE-SD,0.1965
HANSON-SD,0.0013
HARDING-SD,0.0828
HAMLIN-SD,0.1586
DAY-SD,0.185
MARSHALL-SD,0.2131
DAVISON-SD,0.2338
STANLEY-SD,0.1099
SPINK-SD,0.1768
CUSTER-SD,0.228
SANBORN-SD,0.0385
CLARK-SD,0.171
SULLY-SD,0.0073
CODINGTON-SD,0.2449
GREGORY-SD,0.2847
FAULK-SD,0.0777
HYDE-SD,0.0943
MEADE-SD,0.0892
DOUGLAS-SD,0.1503
MINER-SD,0.1057
YANKTON-SD,0.3159
MCCOOK-SD,0.2229
AURORA-SD,0.2726
MCPHERSON-SD,0.2889
MINNEHAHA-SD,0.3589
BROWN-SD,0.3287
TRIPP-SD,0.3411
HAAKON-SD,0.3624
MOODY-SD,0.3908
BUTTE-SD,0.3627
WALWORTH-SD,0.3939
FALL RIVER-SD,0.4172
PENNINGTON-SD,0.4162
HUGHES-SD,0.4061
BRULE-SD,0.5713
BEADLE-SD,0.6506
LYMAN-SD,0.7137
ROBERTS-SD,0.7178
CHARLES MIX-SD,0.7389
CORSON-SD,0.8395
BENNETT-SD,0.7927
DEWEY-SD,0.8831
MELLETTE-SD,0.9156
ZIEBACH-SD,0.9538
BUFFALO-SD,0.971
TODD-SD,0.9564
JACKSON-SD,0.9666
CUMBERLAND-PA,0.1615
SUSQUEHANNA-PA,0.2064
ADAMS-PA,0.2118
ALLEGHENY-PA,0.2506
BUTLER-PA,0.079
PIKE-PA,0.1287
CHESTER-PA,0.1436
BUCKS-PA,0.0831
ARMSTRONG-PA,0.2475
BEDFORD-PA,0.2729
NORTHAMPTON-PA,0.2876
PERRY-PA,0.1089
WARREN-PA,0.2134
COLUMBIA-PA,0.2768
WESTMORELAND-PA,0.1379
BEAVER-PA,0.2481
ELK-PA,0.1166
WAYNE-PA,0.2631
CENTRE-PA,0.2892
MONTGOMERY-PA,0.1653
TIOGA-PA,0.3153
SNYDER-PA,0.2299
WYOMING-PA,0.1121
CAMERON-PA,0.3006
CARBON-PA,0.3048
WASHINGTON-PA,0.1694
FULTON-PA,0.2201
MONROE-PA,0.3064
MONTOUR-PA,0.3111
YORK-PA,0.329
JEFFERSON-PA,0.3312
BRADFORD-PA,0.3471
FRANKLIN-PA,0.3373
SULLIVAN-PA,0.3576
UNION-PA,0.3605
BLAIR-PA,0.3981
CLARION-PA,0.4771
SOMERSET-PA,0.4226
SCHUYLKILL-PA,0.4506
LAWRENCE-PA,0.4694
LYCOMING-PA,0.421
HUNTINGDON-PA,0.4908
GREENE-PA,0.435
LANCASTER-PA,0.4573
VENANGO-PA,0.4229
DELAWARE-PA,0.4131
POTTER-PA,0.4417
CLINTON-PA,0.486
MIFFLIN-PA,0.4723
CAMBRIA-PA,0.4892
NORTHUMBERLAND-PA,0.5006
DAUPHIN-PA,0.4975
JUNIATA-PA,0.4484
CRAWFORD-PA,0.5064
LACKAWANNA-PA,0.5252
INDIANA-PA,0.5484
LEHIGH-PA,0.635
ERIE-PA,0.6194
MCKEAN-PA,0.5462
CLEARFIELD-PA,0.6054
LUZERNE-PA,0.6089
BERKS-PA,0.6162
FAYETTE-PA,0.6248
LEBANON-PA,0.5328
MERCER-PA,0.542
FOREST-PA,0.7115
PHILADELPHIA-PA,0.9204
WASHINGTON-RI,0.0889
KENT-RI,0.1519
BRISTOL-RI,0.1236
NEWPORT-RI,0.179
PROVIDENCE-RI,0.7592
FAYETTE-TN,0.2554
WILSON-TN,0.1465
WILLIAMSON-TN,0.021
MOORE-TN,0.0914
BLOUNT-TN,0.2452
KNOX-TN,0.3035
CHEATHAM-TN,0.2369
SMITH-TN,0.2608
SUMNER-TN,0.2057
RUTHERFORD-TN,0.3268
MAURY-TN,0.3949
FRANKLIN-TN,0.3764
LOUDON-TN,0.3863
HUMPHREYS-TN,0.3688
CANNON-TN,0.3704
POLK-TN,0.4904
HAMILTON-TN,0.4137
ROBERTSON-TN,0.4287
DICKSON-TN,0.429
WASHINGTON-TN,0.4589
MONTGOMERY-TN,0.5172
DECATUR-TN,0.5086
PICKETT-TN,0.4153
OVERTON-TN,0.4576
MARION-TN,0.5061
DEKALB-TN,0.4306
TROUSDALE-TN,0.522
COFFEE-TN,0.4914
TIPTON-TN,0.45
MEIGS-TN,0.4933
STEWART-TN,0.4086
GILES-TN,0.6032
HOUSTON-TN,0.5551
HICKMAN-TN,0.5662
WHITE-TN,0.5984
ANDERSON-TN,0.6064
LEWIS-TN,0.6363
VAN BUREN-TN,0.6025
CARTER-TN,0.6153
GRAINGER-TN,0.593
PUTNAM-TN,0.6182
JOHNSON-TN,0.5653
SEVIER-TN,0.6111
JACKSON-TN,0.6
MARSHALL-TN,0.6099
DAVIDSON-TN,0.5363
JEFFERSON-TN,0.5608
CLAY-TN,0.5939
SEQUATCHIE-TN,0.572
CUMBERLAND-TN,0.5373
GREENE-TN,0.5446
SULLIVAN-TN,0.5411
HENRY-TN,0.6347
FENTRESS-TN,0.6373
MONROE-TN,0.6478
UNION-TN,0.6672
WEAKLEY-TN,0.6583
MCMINN-TN,0.6551
CHESTER-TN,0.6436
COCKE-TN,0.6857
BENTON-TN,0.7029
BRADLEY-TN,0.6914
MADISON-TN,0.7124
HENDERSON-TN,0.6981
HAWKINS-TN,0.708
CLAIBORNE-TN,0.7102
HARDIN-TN,0.7064
PERRY-TN,0.6799
MACON-TN,0.6927
LINCOLN-TN,0.6777
MCNAIRY-TN,0.7172
MORGAN-TN,0.7494
CARROLL-TN,0.7443
GIBSON-TN,0.735
CAMPBELL-TN,0.7338
SCOTT-TN,0.7637
UNICOI-TN,0.7981
HAMBLEN-TN,0.8146
RHEA-TN,0.8207
OBION-TN,0.7694
BEDFORD-TN,0.7758
BLEDSOE-TN,0.8159
LAWRENCE-TN,0.8318
HANCOCK-TN,0.7666
SHELBY-TN,0.7847
DYER-TN,0.7596
WARREN-TN,0.8322
WAYNE-TN,0.7624
CROCKETT-TN,0.7812
HARDEMAN-TN,0.8672
HAYWOOD-TN,0.8717
LAKE-TN,0.9185
GRUNDY-TN,0.8685
LAUDERDALE-TN,0.9672
BEAVER-UT,0.2522
EMERY-UT,0.2627
SUMMIT-UT,0.05
MORGAN-UT,3.0E-4
WASATCH-UT,0.0643
RICH-UT,0.1971
JUAB-UT,0.2331
DAGGETT-UT,0.0755
UTAH-UT,0.278
PIUTE-UT,0.2713
TOOELE-UT,0.3143
DAVIS-UT,0.0796
KANE-UT,0.1054
BOX ELDER-UT,0.1592
WAYNE-UT,0.2908
CACHE-UT,0.3201
MILLARD-UT,0.3554
SALT LAKE-UT,0.3229
SEVIER-UT,0.3261
IRON-UT,0.4525
DUCHESNE-UT,0.4822
UINTAH-UT,0.4838
WEBER-UT,0.4271
GARFIELD-UT,0.4592
GRAND-UT,0.5213
WASHINGTON-UT,0.4143
SANPETE-UT,0.6019
CARBON-UT,0.5615
SAN JUAN-UT,0.9752
HILLSBOROUGH-NH,0.1911
CARROLL-NH,0.0583
BELKNAP-NH,0.0841
SULLIVAN-NH,0.1513
ROCKINGHAM-NH,0.0111
CHESHIRE-NH,0.1417
STRAFFORD-NH,0.1748
GRAFTON-NH,0.1882
MERRIMACK-NH,0.1455
COOS-NH,0.529
CLEBURNE-AR,0.2083
BAXTER-AR,0.2793
NEWTON-AR,0.2815
BENTON-AR,0.2707
SALINE-AR,0.3325
LONOKE-AR,0.3309
GRANT-AR,0.3541
FAULKNER-AR,0.4774
MARION-AR,0.5175
SEARCY-AR,0.4376
STONE-AR,0.5102
BOONE-AR,0.4379
SHARP-AR,0.6191
CARROLL-AR,0.5952
LITTLE RIVER-AR,0.6306
IZARD-AR,0.5697
CRAWFORD-AR,0.6105
GREENE-AR,0.5834
PERRY-AR,0.636
CLEVELAND-AR,0.5643
PULASKI-AR,0.6287
CALHOUN-AR,0.5481
FRANKLIN-AR,0.5943
LAWRENCE-AR,0.6471
FULTON-AR,0.6688
PRAIRIE-AR,0.6548
CLAY-AR,0.6529
WASHINGTON-AR,0.6745
MADISON-AR,0.6535
MONTGOMERY-AR,0.7
CROSS-AR,0.7013
PIKE-AR,0.7124
RANDOLPH-AR,0.7166
VAN BUREN-AR,0.7226
INDEPENDENCE-AR,0.7525
CONWAY-AR,0.7589
WHITE-AR,0.7446
UNION-AR,0.8054
CRAIGHEAD-AR,0.8041
CLARK-AR,0.7892
GARLAND-AR,0.828
LOGAN-AR,0.8045
POINSETT-AR,0.8268
ARKANSAS-AR,0.7787
POPE-AR,0.7936
DREW-AR,0.801
SEVIER-AR,0.7675
HOT SPRING-AR,0.8188
LAFAYETTE-AR,0.7898
SEBASTIAN-AR,0.8328
JACKSON-AR,0.765
LINCOLN-AR,0.8134
YELL-AR,0.8783
MILLER-AR,0.9124
HEMPSTEAD-AR,0.9468
DALLAS-AR,0.8777
COLUMBIA-AR,0.9398
PHILLIPS-AR,0.9239
SCOTT-AR,0.8873
CRITTENDEN-AR,0.9341
ASHLEY-AR,0.8576
JOHNSON-AR,0.8768
JEFFERSON-AR,0.9436
NEVADA-AR,0.8841
POLK-AR,0.8949
OUACHITA-AR,0.8656
WOODRUFF-AR,0.849
MONROE-AR,0.8516
HOWARD-AR,0.9045
MISSISSIPPI-AR,0.9554
DESHA-AR,0.9596
BRADLEY-AR,0.9803
LEE-AR,0.9656
ST. FRANCIS-AR,0.9691
CHICOT-AR,0.9968
WASHINGTON-VT,0.1752
RUTLAND-VT,0.2787
ESSEX-VT,0.2067
WINDSOR-VT,0.128
CHITTENDEN-VT,0.1831
ADDISON-VT,0.0965
ORANGE-VT,0.172
LAMOILLE-VT,0.1309
FRANKLIN-VT,0.1111
CALEDONIA-VT,0.2672
BENNINGTON-VT,0.2924
GRAND ISLE-VT,0.0025
WINDHAM-VT,0.3054
ORLEANS-VT,0.4258
CATOOSA-GA,0.1318
WHITE-GA,0.2357
DAWSON-GA,0.1038
HARRIS-GA,0.1341
PICKENS-GA,0.2796
COLUMBIA-GA,0.1334
CHEROKEE-GA,0.1185
MORGAN-GA,0.2446
COBB-GA,0.2669
FAYETTE-GA,0.0608
PAULDING-GA,0.1376
HENRY-GA,0.3137
FORSYTH-GA,0.0373
COWETA-GA,0.2427
EFFINGHAM-GA,0.2363
UNION-GA,0.3115
OCONEE-GA,0.0354
WALTON-GA,0.293
FANNIN-GA,0.3003
TOWNS-GA,0.3258
JACKSON-GA,0.3516
LEE-GA,0.3519
BRYAN-GA,0.3389
JONES-GA,0.3793
LAMAR-GA,0.4917
DADE-GA,0.5156
GWINNETT-GA,0.4347
MONROE-GA,0.4596
BARROW-GA,0.4204
LUMPKIN-GA,0.4338
OGLETHORPE-GA,0.5217
PUTNAM-GA,0.428
CAMDEN-GA,0.5159
FULTON-GA,0.5268
BANKS-GA,0.5586
DOUGLAS-GA,0.5404
GILMER-GA,0.5599
LINCOLN-GA,0.5564
BARTOW-GA,0.5914
HOUSTON-GA,0.5669
HARALSON-GA,0.5427
BRANTLEY-GA,0.6229
ROCKDALE-GA,0.5529
RABUN-GA,0.5341
MCINTOSH-GA,0.5863
GREENE-GA,0.5379
CHATTAHOOCHEE-GA,0.6379
WALKER-GA,0.6408
HALL-GA,0.6618
MADISON-GA,0.6417
ECHOLS-GA,0.6615
PIERCE-GA,0.657
DEKALB-GA,0.6611
CRAWFORD-GA,0.6815
NEWTON-GA,0.707
GLASCOCK-GA,0.686
GLYNN-GA,0.7159
HABERSHAM-GA,0.7146
CHATHAM-GA,0.6949
JASPER-GA,0.6927
MURRAY-GA,0.7134
TWIGGS-GA,0.758
HART-GA,0.7194
BAKER-GA,0.7424
WILKES-GA,0.7561
WORTH-GA,0.7357
BLECKLEY-GA,0.7395
HEARD-GA,0.7232
WEBSTER-GA,0.7876
STEPHENS-GA,0.7968
MILLER-GA,0.7799
JENKINS-GA,0.8283
WILKINSON-GA,0.7873
WHEELER-GA,0.8124
CLARKE-GA,0.7675
SEMINOLE-GA,0.8344
ELBERT-GA,0.8338
CARROLL-GA,0.7825
HANCOCK-GA,0.7984
WILCOX-GA,0.8169
TELFAIR-GA,0.8369
POLK-GA,0.8048
LONG-GA,0.8271
BUTTS-GA,0.7653
BULLOCH-GA,0.8121
LAURENS-GA,0.8013
BROOKS-GA,0.8398
BALDWIN-GA,0.8666
LANIER-GA,0.8697
MUSCOGEE-GA,0.9003
WAYNE-GA,0.9166
BACON-GA,0.9389
CLAYTON-GA,0.9102
DODGE-GA,0.9223
DOOLY-GA,0.9484
TROUP-GA,0.9013
JEFFERSON-GA,0.9439
WHITFIELD-GA,0.8793
FRANKLIN-GA,0.8462
BERRIEN-GA,0.85
TALBOT-GA,0.8589
CHATTOOGA-GA,0.9252
RICHMOND-GA,0.9328
QUITMAN-GA,0.9433
IRWIN-GA,0.8408
BIBB-GA,0.9175
GRADY-GA,0.9258
SPALDING-GA,0.8691
JEFF DAVIS-GA,0.9373
PEACH-GA,0.9404
UPSON-GA,0.8532
TATTNALL-GA,0.908
COFFEE-GA,0.9506
COOK-GA,0.851
CHARLTON-GA,0.8752
TIFT-GA,0.8809
TAYLOR-GA,0.9197
EARLY-GA,0.9201
MCDUFFIE-GA,0.9376
PULASKI-GA,0.8459
SCREVEN-GA,0.8525
TALIAFERRO-GA,0.9089
BEN HILL-GA,0.8726
WARREN-GA,0.8946
JOHNSON-GA,0.9061
DOUGHERTY-GA,0.9513
WARE-GA,0.8449
THOMAS-GA,0.9108
STEWART-GA,0.9245
TREUTLEN-GA,0.9471
MARION-GA,0.8519
MERIWETHER-GA,0.8701
MACON-GA,0.9312
DECATUR-GA,0.9455
MONTGOMERY-GA,0.8465
GORDON-GA,0.8806
FLOYD-GA,0.8854
CLAY-GA,0.9309
BURKE-GA,0.8455
LOWNDES-GA,0.8662
LIBERTY-GA,0.8882
WASHINGTON-GA,0.9462
EVANS-GA,0.9847
TOOMBS-GA,0.9761
CRISP-GA,0.9857
CLINCH-GA,0.9777
ATKINSON-GA,0.9615
TURNER-GA,0.9809
COLQUITT-GA,0.9812
MITCHELL-GA,0.9879
SUMTER-GA,0.9764
APPLING-GA,0.9669
CALHOUN-GA,0.9774
RANDOLPH-GA,0.9739
EMANUEL-GA,0.9768
CANDLER-GA,0.9828
DANIELS-MT,0.0242
RICHLAND-MT,0.2121
PETROLEUM-MT,0.0029
JEFFERSON-MT,0.0481
BROADWATER-MT,0.042
SHERIDAN-MT,0.0949
GALLATIN-MT,0.0427
CARBON-MT,0.0433
CARTER-MT,0.0487
PARK-MT,0.0688
RAVALLI-MT,0.186
STILLWATER-MT,0.036
MCCONE-MT,0.0774
MADISON-MT,0.1726
DAWSON-MT,0.0752
GRANITE-MT,0.0764
LEWIS AND CLARK-MT,0.1258
GARFIELD-MT,0.0076
FALLON-MT,0.0217
GOLDEN VALLEY-MT,0.0519
PRAIRIE-MT,0.0758
POWDER RIVER-MT,0.0392
MEAGHER-MT,0.0465
FLATHEAD-MT,0.0924
JUDITH BASIN-MT,0.0162
VALLEY-MT,0.1162
MISSOULA-MT,0.178
TETON-MT,0.2981
SWEET GRASS-MT,0.0086
POWELL-MT,0.2545
TREASURE-MT,0.0567
CUSTER-MT,0.2901
FERGUS-MT,0.2376
YELLOWSTONE-MT,0.2497
BEAVERHEAD-MT,0.2516
MUSSELSHELL-MT,0.3551
SANDERS-MT,0.3478
WIBAUX-MT,0.3933
DEER LODGE-MT,0.4717
LINCOLN-MT,0.4194
LIBERTY-MT,0.4099
CHOUTEAU-MT,0.4799
PHILLIPS-MT,0.4146
CASCADE-MT,0.4102
TOOLE-MT,0.4768
WHEATLAND-MT,0.5436
ROSEBUD-MT,0.607
MINERAL-MT,0.5621
SILVER BOW-MT,0.5258
LAKE-MT,0.6468
HILL-MT,0.6984
PONDERA-MT,0.8296
BIG HORN-MT,0.8274
BLAINE-MT,0.915
ROOSEVELT-MT,0.8879
GLACIER-MT,0.8583
CURRITUCK-NC,0.1194
ORANGE-NC,0.2959
CLAY-NC,0.2191
WAKE-NC,0.2774
CAMDEN-NC,0.307
UNION-NC,0.1873
DARE-NC,0.1449
HAYWOOD-NC,0.2809
STOKES-NC,0.3067
BRUNSWICK-NC,0.3583
MACON-NC,0.3548
LINCOLN-NC,0.3564
HENDERSON-NC,0.321
GATES-NC,0.3567
NEW HANOVER-NC,0.3771
POLK-NC,0.3825
CHATHAM-NC,0.3809
BUNCOMBE-NC,0.3799
IREDELL-NC,0.3745
MOORE-NC,0.3621
TRANSYLVANIA-NC,0.3975
MECKLENBURG-NC,0.4408
DAVIE-NC,0.4411
MITCHELL-NC,0.4223
WATAUGA-NC,0.4121
ASHE-NC,0.4994
MADISON-NC,0.4586
CABARRUS-NC,0.4175
PERQUIMANS-NC,0.5048
CHEROKEE-NC,0.4869
YANCEY-NC,0.5736
JOHNSTON-NC,0.5395
STANLY-NC,0.6325
DURHAM-NC,0.6197
ALLEGHANY-NC,0.6268
PENDER-NC,0.5478
JACKSON-NC,0.6236
GRAHAM-NC,0.6338
ALEXANDER-NC,0.6341
FRANKLIN-NC,0.6376
AVERY-NC,0.6446
CALDWELL-NC,0.651
YADKIN-NC,0.6404
CATAWBA-NC,0.6481
GASTON-NC,0.672
GUILFORD-NC,0.6369
GRANVILLE-NC,0.6561
DAVIDSON-NC,0.6841
BEAUFORT-NC,0.7156
PAMLICO-NC,0.7162
WILKES-NC,0.6924
RANDOLPH-NC,0.6965
FORSYTH-NC,0.6834
RUTHERFORD-NC,0.7551
ONSLOW-NC,0.7465
SURRY-NC,0.7258
MARTIN-NC,0.7541
PASQUOTANK-NC,0.7748
PITT-NC,0.8242
CHOWAN-NC,0.8118
ROWAN-NC,0.8143
CLEVELAND-NC,0.835
ROCKINGHAM-NC,0.7857
CRAVEN-NC,0.8099
PERSON-NC,0.7732
ALAMANCE-NC,0.7838
NASH-NC,0.8287
MCDOWELL-NC,0.7895
HARNETT-NC,0.7869
SWAIN-NC,0.7774
CASWELL-NC,0.836
BERTIE-NC,0.9385
WARREN-NC,0.8943
BURKE-NC,0.8487
CUMBERLAND-NC,0.864
HOKE-NC,0.8924
NORTHAMPTON-NC,0.9022
WILSON-NC,0.936
TYRRELL-NC,0.8764
BLADEN-NC,0.9446
WASHINGTON-NC,0.8787
WAYNE-NC,0.9503
COLUMBUS-NC,0.9481
MONTGOMERY-NC,0.8713
ANSON-NC,0.9443
LEE-NC,0.8481
JONES-NC,0.8761
HALIFAX-NC,0.9646
VANCE-NC,0.9787
ROBESON-NC,0.9911
LENOIR-NC,0.9933
SCOTLAND-NC,0.9936
EDGECOMBE-NC,0.9726
DUPLIN-NC,0.979
HERTFORD-NC,0.9873
SAMPSON-NC,0.9723
RICHMOND-NC,0.9796
GREENE-NC,0.9924
SHERMAN-OR,0.135
DESCHUTES-OR,0.1637
CLACKAMAS-OR,0.1895
WASHINGTON-OR,0.3194
BENTON-OR,0.349
WHEELER-OR,0.3901
WALLOWA-OR,0.5032
GILLIAM-OR,0.5092
CLATSOP-OR,0.5185
COLUMBIA-OR,0.4025
MULTNOMAH-OR,0.4675
CURRY-OR,0.4879
LINCOLN-OR,0.5522
HOOD RIVER-OR,0.5455
GRANT-OR,0.5465
POLK-OR,0.5777
CROOK-OR,0.5729
JOSEPHINE-OR,0.6557
LANE-OR,0.649
TILLAMOOK-OR,0.6586
YAMHILL-OR,0.6608
UNION-OR,0.6729
LINN-OR,0.679
HARNEY-OR,0.7108
BAKER-OR,0.6854
COOS-OR,0.743
DOUGLAS-OR,0.7277
JACKSON-OR,0.7354
LAKE-OR,0.7608
MORROW-OR,0.7643
WASCO-OR,0.8389
JEFFERSON-OR,0.9118
KLAMATH-OR,0.8688
MARION-OR,0.8535
UMATILLA-OR,0.9688
MALHEUR-OR,0.9965
HANOVER-VA,0.0156
GLOUCESTER-VA,0.0366
VIRGINIA BEACH CITY-VA,0.1889
MATHEWS-VA,0.0207
KING WILLIAM-VA,0.0357
ARLINGTON-VA,0.1401
FAIRFAX CITY-VA,0.2411
CAMPBELL-VA,0.2615
PRINCE WILLIAM-VA,0.3022
NEW KENT-VA,0.0061
FALLS CHURCH CITY-VA,0.1389
FREDERICK-VA,0.1822
ROANOKE-VA,0.1312
LANCASTER-VA,0.1583
GREENE-VA,0.1631
YORK-VA,0.1997
FLOYD-VA,0.1115
BOTETOURT-VA,0.0414
GOOCHLAND-VA,0.0459
WARREN-VA,0.2564
BEDFORD-VA,0.0984
FAIRFAX-VA,0.1876
SPOTSYLVANIA-VA,0.2159
CLARKE-VA,0.1131
JAMES CITY-VA,0.115
AUGUSTA-VA,0.149
ALEXANDRIA CITY-VA,0.2003
BATH-VA,0.2471
FLUVANNA-VA,0.0631
LOUDOUN-VA,0.0904
CHESTERFIELD-VA,0.1799
CHARLES CITY-VA,0.2366
WESTMORELAND-VA,0.292
KING GEORGE-VA,0.0159
FAUQUIER-VA,0.0287
MADISON-VA,0.164
ALBEMARLE-VA,0.1732
HENRICO-VA,0.2573
CHESAPEAKE CITY-VA,0.2592
RAPPAHANNOCK-VA,0.0213
NORTHUMBERLAND-VA,0.1213
ROCKBRIDGE-VA,0.1433
STAFFORD-VA,0.1541
PRINCE GEORGE-VA,0.3175
MONTGOMERY-VA,0.2959
AMELIA-VA,0.3166
CRAIG-VA,0.0745
POWHATAN-VA,0.0057
POQUOSON CITY-VA,0.0127
HIGHLAND-VA,0.065
MIDDLESEX-VA,0.2025
SALEM CITY-VA,0.3089
NELSON-VA,0.3
GILES-VA,0.2742
ROCKINGHAM-VA,0.3197
LEXINGTON CITY-VA,0.3226
BUENA VISTA CITY-VA,0.3242
LOUISA-VA,0.3325
CAROLINE-VA,0.3481
CARROLL-VA,0.3369
SUFFOLK CITY-VA,0.3468
BLAND-VA,0.3449
KING AND QUEEN-VA,0.3245
ISLE OF WIGHT-VA,0.3392
SHENANDOAH-VA,0.3643
WYTHE-VA,0.3965
SURRY-VA,0.3659
PAGE-VA,0.3936
APPOMATTOX-VA,0.3637
ALLEGHANY-VA,0.4462
FRANKLIN-VA,0.401
RADFORD CITY-VA,0.4124
COVINGTON CITY-VA,0.4634
SOUTHAMPTON-VA,0.4755
STAUNTON CITY-VA,0.4449
CHARLOTTESVILLE CITY-VA,0.4092
DINWIDDIE-VA,0.4182
ORANGE-VA,0.465
AMHERST-VA,0.4682
PULASKI-VA,0.4831
MANASSAS CITY-VA,0.4446
RUSSELL-VA,0.4487
CULPEPER-VA,0.4882
WAYNESBORO CITY-VA,0.6013
MANASSAS PARK CITY-VA,0.528
TAZEWELL-VA,0.5936
ESSEX-VA,0.5634
CUMBERLAND-VA,0.5831
FREDERICKSBURG CITY-VA,0.5631
RICHMOND-VA,0.6143
COLONIAL HEIGHTS CITY-VA,0.5685
PATRICK-VA,0.6389
PITTSYLVANIA-VA,0.6427
HALIFAX-VA,0.6723
SCOTT-VA,0.6758
NORTHAMPTON-VA,0.6764
HAMPTON CITY-VA,0.6675
GRAYSON-VA,0.6459
CHARLOTTE-VA,0.7057
DICKENSON-VA,0.6806
FRANKLIN CITY-VA,0.7175
WINCHESTER CITY-VA,0.722
PRINCE EDWARD-VA,0.7296
LYNCHBURG CITY-VA,0.7369
BUCHANAN-VA,0.7545
SMYTH-VA,0.7548
BRISTOL CITY-VA,0.751
ROANOKE CITY-VA,0.8038
LEE-VA,0.8073
NORFOLK CITY-VA,0.7717
HARRISONBURG CITY-VA,0.793
NEWPORT NEWS CITY-VA,0.8156
MECKLENBURG-VA,0.7768
GREENSVILLE-VA,0.814
BUCKINGHAM-VA,0.7901
PORTSMOUTH CITY-VA,0.8006
RICHMOND CITY-VA,0.7729
ACCOMACK-VA,0.8025
WISE-VA,0.8599
NORTON CITY-VA,0.9054
MARTINSVILLE CITY-VA,0.9105
HENRY-VA,0.8857
HOPEWELL CITY-VA,0.9408
BRUNSWICK-VA,0.8955
SUSSEX-VA,0.9092
LUNENBURG-VA,0.8643
NOTTOWAY-VA,0.9096
EMPORIA CITY-VA,0.9567
DANVILLE CITY-VA,0.9589
GALAX CITY-VA,0.9838
PETERSBURG CITY-VA,0.9643
MARSHALL-WV,0.2153
JEFFERSON-WV,0.2255
PUTNAM-WV,0.0408
TYLER-WV,0.2213
HARDY-WV,0.285
OHIO-WV,0.3108
MORGAN-WV,0.1764
JACKSON-WV,0.2529
PENDLETON-WV,0.358
BROOKE-WV,0.3306
GRANT-WV,0.3675
WOOD-WV,0.3723
WIRT-WV,0.3748
RITCHIE-WV,0.364
TUCKER-WV,0.3672
DODDRIDGE-WV,0.3608
HANCOCK-WV,0.4051
PLEASANTS-WV,0.4468
POCAHONTAS-WV,0.4971
WETZEL-WV,0.4752
MONROE-WV,0.4662
MONONGALIA-WV,0.4111
MARION-WV,0.4939
HARRISON-WV,0.4089
BERKELEY-WV,0.4433
TAYLOR-WV,0.4949
PRESTON-WV,0.5732
WAYNE-WV,0.6006
NICHOLAS-WV,0.5411
CABELL-WV,0.6245
KANAWHA-WV,0.5656
LINCOLN-WV,0.6057
MASON-WV,0.5497
RANDOLPH-WV,0.5806
GREENBRIER-WV,0.5557
CALHOUN-WV,0.5239
MINERAL-WV,0.5933
ROANE-WV,0.6465
BRAXTON-WV,0.6646
LEWIS-WV,0.6761
HAMPSHIRE-WV,0.6433
BARBOUR-WV,0.6513
WYOMING-WV,0.6443
BOONE-WV,0.7041
UPSHUR-WV,0.6911
CLAY-WV,0.6885
GILMER-WV,0.7564
LOGAN-WV,0.7471
WEBSTER-WV,0.7487
FAYETTE-WV,0.764
SUMMERS-WV,0.829
RALEIGH-WV,0.7685
MINGO-WV,0.785
MERCER-WV,0.8089
MCDOWELL-WV,0.9029
WAUKESHA-WI,0.0194
SAUK-WI,0.2344
WASHBURN-WI,0.108
OZAUKEE-WI,0.0134
KEWAUNEE-WI,0.0586
WINNEBAGO-WI,0.1608
PORTAGE-WI,0.1653
MANITOWOC-WI,0.1621
MARQUETTE-WI,0.2596
OCONTO-WI,0.064
IOWA-WI,0.0131
ST. CROIX-WI,0.0146
PIERCE-WI,0.0806
POLK-WI,0.0873
PEPIN-WI,0.1019
FLORENCE-WI,0.1452
LAFAYETTE-WI,0.1596
DANE-WI,0.1688
CHIPPEWA-WI,0.2105
SHEBOYGAN-WI,0.2245
ONEIDA-WI,0.014
VILAS-WI,0.1395
RICHLAND-WI,0.3073
LA CROSSE-WI,0.2089
WALWORTH-WI,0.2688
PRICE-WI,0.1602
WAUPACA-WI,0.1815
GRANT-WI,0.1939
WASHINGTON-WI,0.0099
OUTAGAMIE-WI,0.0978
DUNN-WI,0.1847
DODGE-WI,0.2019
LINCOLN-WI,0.1013
BAYFIELD-WI,0.099
WOOD-WI,0.1535
MARINETTE-WI,0.2971
GREEN-WI,0.0529
SHAWANO-WI,0.1382
