County-State,SVI
MINERAL-CO,0.0261
WASHINGTON-CO,0.2822
GILPIN-CO,0.0022
ELBERT-CO,0.0
GRAND-CO,0.0987
GUNNISON-CO,0.1392
CUSTER-CO,0.2433
ARAPAHOE-CO,0.2662
JEFFERSON-CO,0.0627
ROUTT-CO,0.0634
CHAFFEE-CO,0.2389
CHEYENNE-CO,0.2589
SAN JUAN-CO,0.1283
SAN MIGUEL-CO,0.0331
JACKSON-CO,0.1137
BOULDER-CO,0.1704
CLEAR CREEK-CO,0.0197
DOLORES-CO,0.1516
OURAY-CO,0.0239
SUMMIT-CO,0.0707
TELLER-CO,0.0729
LA PLATA-CO,0.1086
PHILLIPS-CO,0.2955
PITKIN-CO,0.0656
PARK-CO,6.0E-4
EAGLE-CO,0.1369
KIOWA-CO,0.3188
GARFIELD-CO,0.351
RIO BLANCO-CO,0.3401
EL PASO-CO,0.3927
WELD-CO,0.3994
LAKE-CO,0.4452
DENVER-CO,0.4197
LINCOLN-CO,0.4857
KIT CARSON-CO,0.5153
MONTEZUMA-CO,0.4946
MESA-CO,0.5755
YUMA-CO,0.5637
HUERFANO-CO,0.5955
BACA-CO,0.6086
MOFFAT-CO,0.5471
LOGAN-CO,0.628
ADAMS-CO,0.5892
FREMONT-CO,0.6525
MONTROSE-CO,0.7153
SEDGWICK-CO,0.6936
DELTA-CO,0.6866
MORGAN-CO,0.7414
LAS ANIMAS-CO,0.8373
SAGUACHE-CO,0.807
PROWERS-CO,0.9392
PUEBLO-CO,0.8669
CROWLEY-CO,0.893
ALAMOSA-CO,0.9452
COSTILLA-CO,0.9379
BENT-CO,0.8981
CONEJOS-CO,0.9325
OTERO-CO,0.9561
RIO GRANDE-CO,0.9586
SEMINOLE-FL,0.1844
SARASOTA-FL,0.2538
SUMTER-FL,0.236
NASSAU-FL,0.2459
FLAGLER-FL,0.2799
INDIAN RIVER-FL,0.3962
BREVARD-FL,0.3713
OKALOOSA-FL,0.386
CLAY-FL,0.3803
MARTIN-FL,0.399
COLLIER-FL,0.4618
LEON-FL,0.4943
ESCAMBIA-FL,0.4863
ALACHUA-FL,0.4729
CHARLOTTE-FL,0.4889
WAKULLA-FL,0.4032
MONROE-FL,0.4557
VOLUSIA-FL,0.5347
GULF-FL,0.592
PASCO-FL,0.6344
PALM BEACH-FL,0.5592
BROWARD-FL,0.5844
LAKE-FL,0.6029
JEFFERSON-FL,0.5748
HERNANDO-FL,0.549
WALTON-FL,0.5822
CITRUS-FL,0.6022
ORANGE-FL,0.6691
HILLSBOROUGH-FL,0.6701
BAKER-FL,0.6803
DUVAL-FL,0.692
GILCHRIST-FL,0.7567
MARION-FL,0.7535
ST. LUCIE-FL,0.7185
UNION-FL,0.8382
MIAMI-DADE-FL,0.8175
LEVY-FL,0.7793
OSCEOLA-FL,0.8178
FRANKLIN-FL,0.8083
LIBERTY-FL,0.8334
CALHOUN-FL,0.8401
TAYLOR-FL,0.8984
SUWANNEE-FL,0.9424
POLK-FL,0.9035
GLADES-FL,0.9048
WASHINGTON-FL,0.8939
DIXIE-FL,0.8994
HOLMES-FL,0.9347
HIGHLANDS-FL,0.8729
BRADFORD-FL,0.9264
OKEECHOBEE-FL,0.9465
PUTNAM-FL,0.9525
COLUMBIA-FL,0.8596
JACKSON-FL,0.9583
GADSDEN-FL,0.9901
DESOTO-FL,0.9618
MADISON-FL,0.9608
HENDRY-FL,0.9939
LAFAYETTE-FL,0.9806
HAMILTON-FL,0.9908
HARDEE-FL,0.9831
BANNER-NE,0.0041
HOWARD-NE,0.0803
CHERRY-NE,0.2261
ARTHUR-NE,0.0083
FILLMORE-NE,0.0618
MCPHERSON-NE,0.0838
PHELPS-NE,0.1226
POLK-NE,0.1908
KEARNEY-NE,0.0939
OTOE-NE,0.2287
BURT-NE,0.2541
BOYD-NE,0.092
SARPY-NE,0.0971
ANTELOPE-NE,0.1032
LOGAN-NE,0.1073
GAGE-NE,0.1105
GRANT-NE,0.1328
VALLEY-NE,0.1484
HARLAN-NE,0.1239
WASHINGTON-NE,0.0379
SEWARD-NE,0.0468
NANCE-NE,0.0825
